%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,19,0x0400000000004000,1473431159.532091,1473431160.361662,0.829571,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,3410,50.16.203.253,us,Amazoncom,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_22,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,22,17,9789,6712,0,1380,444.9546,570.504,0,0.108505,0.03770777,0.04067559,26.51973,11800.08,0.1282051,0.1864735,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3970138908,19,9789,0,19,6675,0,4140,5840,8247.966,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.09849299,0.037792,0.105873,0.09425253,0.01430207,0.099384,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,4,0.4444444,2.0,80,35061
B,19,0x0400000000004001,1473431159.630584,1473431160.36085,0.730266,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,50.16.203.253,us,Amazoncom,8443,10.10.10.144,04,Private network,3410,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_17,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,17,22,6712,9789,0,1380,394.8235,522.3113,0,0.158673,0.04295682,0.05030078,23.27919,9191.172,-0.1282051,-0.1864735,0x0a11,1,12555,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3614465450,17,6712,0,17,9789,0,4899,14600,36572.77,14600,38144,0,8,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000891008,0.000634016,0.05800198,0.00868724,0.01331073,0.1029398,0.01953777,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,3,3.0,3.0,17,6712
A,18,0x0400000000004000,1473431159.17835,1473431160.557776,1.379426,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4031,54.243.146.41,us,Amazon Technologies Inc,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_35,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,35,31,24087,10232,0,1380,688.2,643.7971,0,0.275951,0.03941217,0.05014447,25.37287,17461.61,0.06060606,0.4037122,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3970813563,32,24087,0,32,10195,0,4140,5840,8270.975,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.098042,0.001140992,0.100185,0.06748276,0.03483839,0.09994999,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,83,35061
B,18,0x0400000000004001,1473431159.276392,1473431160.556944,1.280552,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,54.243.146.41,us,Amazon Technologies Inc,8443,10.10.10.144,04,Private network,4031,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_31,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,31,35,10232,24087,0,1380,330.0645,529.1094,0,0.375722,0.04130813,0.06205443,24.20831,7990.304,-0.06060606,-0.4037122,0x0a11,1,33808,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2176076041,31,10232,0,31,24087,0,5237,14600,42222.09,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001908,0.000652992,0.277859,0.01688106,0.04039768,0.08436382,0.05334497,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,31,10232
A,23,0x0400000000004000,1473431162.359301,1473431163.190185,0.830884,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4033,54.243.146.41,us,Amazon Technologies Inc,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_22,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,22,17,9789,6472,0,1380,444.9546,570.504,0,0.11414,0.03776746,0.04249454,26.47783,11781.43,0.1282051,0.203985,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3974988834,19,9789,0,19,6435,0,4140,5840,8247.966,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.099464,0.035952,0.113259,0.09692017,0.01521352,0.101184,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,4,0.4444444,2.0,122,51279
B,23,0x0400000000004001,1473431162.458765,1473431163.189346,0.730581,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,54.243.146.41,us,Amazon Technologies Inc,8443,10.10.10.144,04,Private network,4033,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_17,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,17,22,6472,9789,0,1380,380.7059,526.5936,0,0.157202,0.04297535,0.04952736,23.26915,8858.703,-0.1282051,-0.203985,0x0a11,1,62331,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4040244449,17,6472,0,17,9789,0,4899,14600,36572.77,14600,38144,0,8,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.00172,0.000598,0.055656,0.00746281,0.01205133,0.104383,0.0194084,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,3,3.0,3.0,48,16704
A,24,0x0400000000004000,1473431162.690094,1473431164.438291,1.748197,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4170,54.243.222.76,us,Amazon Technologies Inc,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_34,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,34,29,24087,7144,0,1380,708.4412,632.0425,0,0.543432,0.05141756,0.09362628,19.44861,13778.2,0.07936508,0.5425059,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3965326018,31,24087,0,31,7107,0,4141,5840,8270.879,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.09810797,0.006100992,0.165104,0.07135972,0.04112737,0.100831,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,142,69032
B,24,0x0400000000004001,1473431162.788202,1473431164.437525,1.649323,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,54.243.222.76,us,Amazon Technologies Inc,8443,10.10.10.144,04,Private network,4170,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_29,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,29,34,7144,24087,0,1380,246.3448,453.9222,0,0.642242,0.0568732,0.1160612,17.58297,4331.474,-0.07936508,-0.5425059,0x0a11,1,19324,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1232182274,29,7144,0,29,24087,0,4899,14600,42203.44,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.002723008,0.000428992,0.5488951,0.04320879,0.1268595,0.1145685,0.1333597,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,29,7144
A,13,0x0400000000004000,1473431156.143877,1473431156.475287,0.33141,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,3732,50.19.247.85,us,Amazoncom,3475,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,13,0,349,58.16667,108.0137,0,0.111458,0.055235,0.04457616,18.10446,1053.076,0.2,0.9281768,0x0211,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3972412635,5,349,0,5,13,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.106832,0.10656,0.107884,0.1071195,0.0004233064,0.108059,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,142,69032
B,13,0x0400000000004001,1473431156.250709,1473431156.471713,0.221004,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,50.19.247.85,us,Amazoncom,3475,10.10.10.144,04,Private network,3732,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,13,349,0,13,3.25,4.628002,0,0.11171,0.055251,0.04306916,18.09922,58.82247,-0.2,-0.9281768,0x0a11,1,43996,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3139358533,4,13,0,4,349,0,13,14600,15435.7,14600,15872,0,1,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001227008,0.000900992,0.003825984,0.002141168,0.001039571,0.1092607,0.001122451,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,4,13
