%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,10,0x0400000000004000,1471523651.821556,1471523657.247395,5.425839,1,3,eth:ipv4:tcp,94:10:3e:35:01:c1,00:b5:6d:06:08:ba,0x0800,,10.10.10.252,04,Private network,3469,50.16.203.253,us,Amazoncom,8443,6,0x00,1,94:10:3e:35:01:c1_00:b5:6d:06:08:ba_46,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,46,35,39708,6616,0,1380,863.2174,619.3883,0,4.031388,0.117953,0.5777617,8.477952,7318.315,0.1358025,0.7143597,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2032724588,43,39708,0,43,6579,0,5520,5840,8271.196,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.106815,0.001052032,0.143428,0.06066644,0.04498967,0.109196,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,66,46402
B,10,0x0400000000004001,1471523651.928371,1471523657.236985,5.308614,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:35:01:c1,0x0800,,50.16.203.253,us,Amazoncom,8443,10.10.10.252,04,Private network,3469,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:35:01:c1_35,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,35,46,6616,39708,0,1380,189.0286,412.7624,0,4.140055,0.1516747,0.6751628,6.593058,1246.276,-0.1358025,-0.7143597,0x0a11,1,56487,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3136370737,35,6616,0,35,39708,0,4899,14600,42235.11,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.002380992,0.000331008,4.038937,0.1907293,0.8198759,0.2513957,0.8211093,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,35,6616
A,12,0x0400000000004000,1471523661.448145,1471523661.806508,0.358363,1,3,eth:ipv4:tcp,94:10:3e:35:01:c1,00:b5:6d:06:08:ba,0x0800,,10.10.10.252,04,Private network,4814,23.23.244.247,us,Amazoncom,3475,6,0x00,1,94:10:3e:35:01:c1_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,11,0,349,58.16667,108.0137,0,0.101116,0.05972717,0.03669829,16.7428,973.8729,0.2,0.9388889,0x0211,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2035118193,5,349,0,5,11,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.099476,0.099256,0.100132,0.09973451,0.0003115064,0.100516,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,111,65907
B,12,0x0400000000004001,1471523661.547621,1471523661.805638,0.258017,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:35:01:c1,0x0800,,23.23.244.247,us,Amazoncom,3475,10.10.10.252,04,Private network,4814,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:35:01:c1_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,11,349,0,11,2.75,3.916002,0,0.154242,0.06450425,0.05001373,15.50285,42.63285,-0.2,-0.9388889,0x0a11,1,20455,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,31879627,4,11,0,4,349,0,11,14600,15435.7,14600,15872,0,1,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.00104,0.000870016,0.05498599,0.01029084,0.0165962,0.1100253,0.01659912,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,4,11
A,14,0x0400000000004000,1471523665.142812,1471523666.230162,1.08735,1,3,eth:ipv4:tcp,94:10:3e:35:01:c1,00:b5:6d:06:08:ba,0x0800,,10.10.10.252,04,Private network,3721,23.23.236.208,us,Amazoncom,8443,6,0x00,1,94:10:3e:35:01:c1_00:b5:6d:06:08:ba_31,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,31,26,18914,6472,0,1380,610.129,639.236,0,0.122368,0.03507581,0.03989269,28.50968,17394.58,0.0877193,0.4901127,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2037324309,27,18914,0,27,6435,0,4140,5840,5788.903,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.100671,0.000902976,0.120214,0.07252879,0.03660841,0.101592,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,111,65907
B,14,0x0400000000004001,1471523665.243483,1471523666.211486,0.968003,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:35:01:c1,0x0800,,23.23.236.208,us,Amazoncom,8443,10.10.10.252,04,Private network,3721,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:35:01:c1_26,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,26,31,6472,18914,0,1380,248.9231,462.0081,0,0.164761,0.03723088,0.04435694,26.85942,6685.93,-0.0877193,-0.4901127,0x0a11,1,23904,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1281598168,26,6472,0,26,18914,0,4899,14600,42118.84,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.000920992,0.000212992,0.06060598,0.008712932,0.01150257,0.08124173,0.03837296,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,26,6472
A,1,0x0000000000000004,1471523641.219929,1471523641.225051,0.005122,1,2,eth:eapol,94:10:3e:35:01:c1,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:35:01:c1_28:b2:bd:c3:41:78_2,"BelkinInt,US_IntelCorp,MY",0,unknown,2,0,220,0,99,121,110.0,7.778174,0,0.005122,0.002561,0.0018109,390.4725,42951.97,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,2,0x0400000000004000,1471523642.420086,1471523642.456012,0.035926,1,3,eth:ipv4:udp,94:10:3e:35:01:c1,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,94:10:3e:35:01:c1_ff:ff:ff:ff:ff:ff_2,"BelkinInt,US_Broadcast",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.035926,0.017963,0.01270176,55.66999,16701.0,1.0,1.0,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,2,600
A,3,0x0400000000004001,1471523642.420226,1471523642.518914,0.098688,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,94:10:3e:35:01:c1,0x0800,,10.10.10.1,04,Private network,67,10.10.10.252,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_94:10:3e:35:01:c1_2,"DavidElec,TW_BelkinInt,US",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.098688,0.049344,0.03489147,20.26589,6079.767,-1.0,1.0,0x0001,4,4,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,7,1,1.0,0.1428571,7,1525
A,4,0x0000000000000044,1471523643.091239,1471523646.188334,3.097095,1,2,eth:arp,94:10:3e:35:01:c1,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:35:01:c1_ff:ff:ff:ff:ff:ff_2,"BelkinInt,US_Broadcast",0,unknown,2,0,74,0,28,46,37.0,6.363961,0,3.097095,1.548548,1.094988,0.6457664,23.89336,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
