%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,16,0x0400000000004000,1471525313.901781,1471525317.553962,3.652181,1,3,eth:ipv4:tcp,94:10:3e:34:0c:b5,00:b5:6d:06:08:ba,0x0800,,10.10.10.190,04,Private network,4470,184.73.174.14,us,Amazoncom,8443,6,0x00,1,94:10:3e:34:0c:b5_00:b5:6d:06:08:ba_29,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,29,27,24011,2755,0,1368,827.9655,577.0152,0,1.868216,0.1259373,0.354138,7.940461,6574.428,0.03571429,0.7941418,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3696282715,28,24011,0,28,2756,0,3700,5840,9971.103,5840,11312,0,2,1,0,0x041e,0x0000,29,89,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294911600,1287389448,0.001,4294911.803997,1467230406.3402188,0.101498,0.001163968,1.860988,0.2480885,0.560128,0.104038,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,4,4,0.8,1.0,48,24510
B,16,0x0400000000004001,1471525314.003279,1471525317.546537,3.543258,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:34:0c:b5,0x0800,,184.73.174.14,us,Amazoncom,8443,10.10.10.190,04,Private network,4470,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:34:0c:b5_27,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,27,29,2755,24011,0,1368,102.037,270.7422,0,1.759356,0.1312318,0.3543634,7.620106,777.533,-0.03571429,-0.7941418,0x0a13,1,59891,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2357771408,27,2755,0,27,23974,0,1817,28960,82036.52,28960,84224,0,21,1,0,0x031b,0x0000,27,83,0x0000011e,1380,128,0x0000,0x00,0,0x00,1287389448,4294911133,0.1,128738946.71836,1342786371.3577943,0.00254,0.001006976,0.886726,0.04392206,0.147189,0.2920105,0.5791442,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,3,3,3.0,1.0,29,2755
A,15,0x0400000000004000,1471525313.398364,1471525313.94393,0.545566,1,3,eth:ipv4:tcp,94:10:3e:34:0c:b5,00:b5:6d:06:08:ba,0x0800,,10.10.10.190,04,Private network,4469,184.73.174.14,us,Amazoncom,8443,6,0x00,1,94:10:3e:34:0c:b5_00:b5:6d:06:08:ba_4,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,4,2,0,0,0,0,0.0,0.0,0,0.340324,0.1363915,0.1011218,7.331835,0.0,0.3333333,0.0,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3696198845,3,0,0,3,0,0,0,5840,5840.0,5840,5840,0,0,0,0,0x0113,0x0000,4,14,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294910697,1287388547,1.0,4294910697.0,1.8446744070886169e+19,0.099964,0.09976301,0.099964,0.0998635,7.105959e-05,0.102106,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,52,24652
B,15,0x0400000000004001,1471525313.498328,1471525313.940557,0.442229,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:34:0c:b5,0x0800,,184.73.174.14,us,Amazoncom,8443,10.10.10.190,04,Private network,4469,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:34:0c:b5_2,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,2,4,0,0,0,0,0.0,0.0,0,0.442229,0.2211145,0.1563516,4.522544,0.0,-0.3333333,0.0,0x0a13,59984,59984,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2821059847,2,0,0,2,0,0,0,28960,28988.8,28960,29056,0,1,1,0,0x0313,0x3000,2,8,0x0000011e,1380,128,0x0000,0x00,0,0x00,1287388547,4294910671,1.0,1287388547.0,184136766.42541292,0.002142016,0.002142016,0.342466,0.08753075,0.1209941,0.1873943,0.1209941,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,29,2755
A,20,0x0400000000004000,1471525335.195892,1471525335.665258,0.469366,1,3,eth:ipv4:tcp,94:10:3e:34:0c:b5,00:b5:6d:06:08:ba,0x0800,,10.10.10.190,04,Private network,3391,184.73.191.189,us,Amazoncom,8899,6,0x00,1,94:10:3e:34:0c:b5_00:b5:6d:06:08:ba_7,"BelkinInt,US_DavidElec,TW",8899,ospf-lite,7,5,744,226,0,549,106.2857,171.5931,0,0.133139,0.06705228,0.04977747,14.91373,1585.117,0.1666667,0.5340206,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3708993364,6,744,0,6,226,0,549,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,7,23,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294916126,126004022,1.0,4294916126.0,1.844674407088616e+19,0.09922998,0.09895699,0.09946499,0.0991196,0.0001686977,0.101925,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,85,34218
B,20,0x0400000000004001,1471525335.295122,1471525335.66303,0.367908,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:34:0c:b5,0x0800,,184.73.191.189,us,Amazoncom,8899,10.10.10.190,04,Private network,3391,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:34:0c:b5_5,"DavidElec,TW_BelkinInt,US",8899,ospf-lite,5,7,226,744,0,201,45.2,68.11911,0,0.132638,0.0735816,0.05028863,13.59035,614.284,-0.1666667,-0.5340206,0x0a13,1,45678,31,31,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3379515908,5,226,0,5,744,0,201,17898,19312.36,17898,20096,0,2,1,0,0x031b,0x0000,5,17,0x0000011e,1380,128,0x0000,0x00,0,0x00,126004022,4294916094,1.0,126004022.0,1345521313.1605036,0.002695008,0.002227968,0.03367398,0.01569,0.01294408,0.1148096,0.01294518,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,5,226
A,2,0x0000000000000004,1471525302.307899,1471525302.307899,0.0,1,2,eth:llc,94:10:3e:34:0c:b5,ff:ff:ff:ff:ff:ff,0x0001,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:34:0c:b5_ff:ff:ff:ff:ff:ff_1,"BelkinInt,US_Broadcast",0,unknown,1,0,3,0,3,3,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,1,0x0000000000000004,1471525300.314734,1471525302.319226,2.004492,1,2,eth:eapol,94:10:3e:34:0c:b5,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:34:0c:b5_28:b2:bd:c3:41:78_4,"BelkinInt,US_IntelCorp,MY",0,unknown,4,0,440,0,99,121,110.0,8.599094,0,1.996072,0.501123,0.7095744,1.995518,219.507,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,3,0x0400000000004000,1471525303.136042,1471525303.312088,0.176046,1,3,eth:ipv4:udp,94:10:3e:34:0c:b5,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,94:10:3e:34:0c:b5_ff:ff:ff:ff:ff:ff_5,"BelkinInt,US_Broadcast",67,bootps,5,0,2740,0,548,548,548.0,0.0,0,0.054748,0.0352092,0.01468216,28.40167,15564.11,1.0,1.0,0x0001,0,0,64,64,0,0x00,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,5,2740
A,6,0x0400000000004000,1471525304.029669,1471525304.03821,0.008541,1,3,eth:ipv4:udp,94:10:3e:34:0c:b5,00:b5:6d:06:08:ba,0x0800,,10.10.10.190,04,Private network,3073,10.10.10.1,04,Private network,53,17,0x00,1,94:10:3e:34:0c:b5_00:b5:6d:06:08:ba_2,"BelkinInt,US_DavidElec,TW",53,domain,2,2,79,576,32,47,39.5,5.303301,0,0.008541,0.0042705,0.0030197,234.1646,9249.502,0.0,-0.7587786,0x0001,4,4,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001434,8.3e-05,0.001434,0.0007585,0.0004776506,0.008541,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,8,6,0.8571429,0.75,111,43218
