%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0000000000000004,1472570679.698679,1472570679.703275,0.004596,1,2,eth:eapol,00:24:e4:24:80:2a,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,00:24:e4:24:80:2a_28:b2:bd:c3:41:78_2,"Withings,FR_IntelCorp,MY",0,unknown,2,0,220,0,99,121,110.0,7.778174,0,0.004596,0.002298,0.001624931,435.161,47867.71,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,2,0x0400000000004000,1472570679.76584,1472570679.786037,0.020197,1,3,eth:ipv4:udp,00:24:e4:24:80:2a,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,00:24:e4:24:80:2a_ff:ff:ff:ff:ff:ff_2,"Withings,FR_Broadcast",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.020197,0.0100985,0.007140718,99.0246,29707.38,1.0,1.0,0x0001,1,1,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,2,600
A,3,0x0400000000004001,1472570679.766062,1472570679.866796,0.100734,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,00:24:e4:24:80:2a,0x0800,,10.10.10.1,04,Private network,67,10.10.10.21,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_00:24:e4:24:80:2a_2,"DavidElec,TW_Withings,FR",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.100734,0.050367,0.03561485,19.85427,5956.281,-1.0,1.0,0x0001,1,1,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,3,2,2.0,0.6666667,3,843
A,4,0x0000000000000044,1472570679.907675,1472570680.962743,1.055068,1,2,eth:arp,00:24:e4:24:80:2a,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:24:e4:24:80:2a_ff:ff:ff:ff:ff:ff_4,"Withings,FR_Broadcast",0,unknown,4,0,112,0,28,28,28.0,0.0,0,0.484661,0.263767,0.1548454,3.791225,106.1543,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,6,0x0400000000004000,1472570680.975042,1472570680.975042,0.0,1,3,eth:ipv4:udp,00:24:e4:24:80:2a,00:b5:6d:06:08:ba,0x0800,,10.10.10.21,04,Private network,49153,10.10.10.1,04,Private network,53,17,0x00,1,00:24:e4:24:80:2a_00:b5:6d:06:08:ba_1,"Withings,FR_DavidElec,TW",53,domain,1,1,38,243,38,38,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7295374,0x0001,65535,0,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.01454502,0.01454502,0.01454502,0.01454502,0.0,0.01454502,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,2,2,0.6666667,1.0,30,6049
B,6,0x0400000000004001,1472570680.989587,1472570680.989587,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,00:24:e4:24:80:2a,0x0800,,10.10.10.1,04,Private network,53,10.10.10.21,04,Private network,49153,17,0x00,1,00:b5:6d:06:08:ba_00:24:e4:24:80:2a_1,"DavidElec,TW_Withings,FR",53,domain,1,1,243,38,243,243,243.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7295374,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.01454502,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,1,1,1.0,1.0,3,843
A,7,0x0400000000004000,1472570681.060925,1472570681.220039,0.159114,1,3,eth:ipv4:tcp,00:24:e4:24:80:2a,00:b5:6d:06:08:ba,0x0800,,10.10.10.21,04,Private network,49153,89.30.121.150,fr,BSOCOM-MNT,80,6,0x00,1,00:24:e4:24:80:2a_00:b5:6d:06:08:ba_5,"Withings,FR_DavidElec,TW",80,http,5,3,185,377,0,185,37.0,61.18688,0,0.060817,0.0318228,0.02116535,31.42401,1162.688,0.25,-0.341637,0x0011,1,2,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3077416063,4,185,0,4,377,0,185,8400,8207.431,8022,8400,2,0,0,0,0x011b,0x0000,1,1,0x00000004,1400,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.010294,0.00997,0.015688,0.011984,0.001943365,0.051946,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,4,4,2.0,1.0,30,6049
B,7,0x0400000000004001,1472570681.071219,1472570681.183806,0.112587,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:24:e4:24:80:2a,0x0800,,89.30.121.150,fr,BSOCOM-MNT,80,10.10.10.21,04,Private network,49153,6,0x00,1,00:b5:6d:06:08:ba_00:24:e4:24:80:2a_3,"DavidElec,TW_Withings,FR",80,http,3,5,377,185,0,377,125.6667,130.798,0,0.057488,0.037529,0.01945013,26.64606,3348.522,-0.25,0.341637,0x0811,1,52024,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4145807647,3,377,0,3,185,0,377,14600,15081.44,14600,15544,0,1,1,0,0x031b,0x3000,1,1,0x00000004,1380,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.041652,0.03623301,0.045129,0.0412932,0.002538664,0.0532772,0.003197105,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,3,3,3.0,1.0,25,3244
A,8,0x0400000000004000,1472570681.192368,1472570685.758165,4.565797,1,3,eth:ipv4:tcp,00:24:e4:24:80:2a,00:b5:6d:06:08:ba,0x0800,,10.10.10.21,04,Private network,49154,89.30.121.150,fr,BSOCOM-MNT,80,6,0x00,1,00:24:e4:24:80:2a_00:b5:6d:06:08:ba_23,"Withings,FR_DavidElec,TW",80,http,23,22,5526,2867,0,512,240.2609,208.7946,0,0.80996,0.1985129,0.2332275,5.037456,1210.303,0.02222222,0.3168116,0x0811,1,2,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3069027455,22,5526,0,22,2234,0,512,8400,7716.311,7329,8400,6,1,4,0,0x011b,0x0000,1,1,0x00000004,1400,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.01016899,0.009990976,0.59361,0.06295981,0.1281549,0.027912,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,2,1.0,1.0,30,6049
B,8,0x0400000000004001,1472570681.202537,1472570685.741218,4.538681,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:24:e4:24:80:2a,0x0800,,89.30.121.150,fr,BSOCOM-MNT,80,10.10.10.21,04,Private network,49154,6,0x00,1,00:b5:6d:06:08:ba_00:24:e4:24:80:2a_22,"DavidElec,TW_Withings,FR",80,http,22,23,2867,5526,0,608,130.3182,194.8506,0,0.971928,0.2063037,0.2686534,4.847223,631.6813,-0.02222222,-0.3168116,0x0811,1,24623,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3923835681,20,2234,0,22,5526,0,1216,14600,28006.81,14600,29480,0,14,1,0,0x031b,0x0040,1,1,0x00000004,1380,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.01774301,0.01694701,0.94223,0.1702069,0.2432985,0.2331667,0.274987,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1.0,25,3244
