%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0000000000000004	1465489438.804517000	1465489438.818304000	0.013787000	1	2	eth:eapol	20:f8:5e:ca:91:52	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	20:f8:5e:ca:91:52_28:b2:bd:c3:41:78_2	DeltaElec,TW_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.013787	0.0068935	0.004874441	145.0642	15957.06	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	6	0x0400000000004000	1465489439.865335000	1465489439.865335000	0.000000000	1	3	eth:ipv4:udp	20:f8:5e:ca:91:52	00:b5:6d:06:08:ba	0x0800		10.10.10.123	04	"Private network"	59904	10.10.10.1	04	"Private network"	53	17	0x00	1	20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_1	DeltaElec,TW_DavidElec,TW	53	domain	1	1	32	111	32	32	32	0	0	0	0	0	0	0	0	-0.5524476	0x0001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000105024	0.000105024	0.000105024	0.000105024	0	0.000105024	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	3	2	1	0.6666667	16	453
B	6	0x0400000000004001	1465489439.865440000	1465489439.865440000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.123	04	"Private network"	59904	17	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_1	DavidElec,TW_DeltaElec,TW	53	domain	1	1	111	32	111	111	111	0	0	0	0	0	0	0	0	0.5524476	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000105024	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	1	1	0.5	5	1311
A	7	0x0400000000004000	1465489439.884744000	1465489440.423653000	0.538909000	1	3	eth:ipv4:tcp	20:f8:5e:ca:91:52	00:b5:6d:06:08:ba	0x0800		10.10.10.123	04	"Private network"	62997	104.16.66.50	us	"Cloudflare"	80	6	0x00	1	20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_8	DeltaElec,TW_DavidElec,TW	80	http	8	9	227	1230	0	96	28.375	31.57902	0	0.314083	0.06736363	0.1035405	14.84481	421.2214	-0.05882353	-0.6884008	0x0a13	1	1	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3728652812	7	227	0	7	1230	0	120	8688	8801.162	8429	9660	3	1	4	0	0x011b	0x0000	1	6	0x0000010e	1460	1	0x0000	0x00	0	0x00	1360171354	0	0.004	5440685.674419	1460048754.3601286320	0.001435008	0.000211008	0.289528	0.07615056	0.0976041	0.004577024	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	4	4	2	1	16	453
B	7	0x0400000000004001	1465489439.886179000	1465489440.419444000	0.533265000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0800		104.16.66.50	us	"Cloudflare"	80	10.10.10.123	04	"Private network"	62997	6	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_9	DavidElec,TW_DeltaElec,TW	80	http	9	8	1230	227	0	620	136.6667	228.4067	0	0.288305	0.05925167	0.08856857	16.87716	2306.546	0.05882353	0.6884008	0x0a11	1	25853	53	53	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3090299888	9	1230	0	9	227	0	625	29200	29667.41	29200	29696	0	1	1	0	0x031b	0x0000	1	3	0x0000000e	1380	1024	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.003142016	0.003142016	0.02541499	0.01141975	0.007579704	0.08757031	0.09789797	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	3	3	3	1	15	1955
A	8	0x0400000000004000	1465489440.438627000	1465489440.745358000	0.306731000	1	3	eth:ipv4:tcp	20:f8:5e:ca:91:52	00:b5:6d:06:08:ba	0x0800		10.10.10.123	04	"Private network"	41529	104.16.66.50	us	"Cloudflare"	80	6	0x00	1	20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_7	DeltaElec,TW_DavidElec,TW	80	http	7	6	194	725	0	117	27.71428	35.35977	0	0.292237	0.04381872	0.092623	22.8213	632.476	0.07692308	-0.5778019	0x0a13	1	1	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3728925252	6	194	0	6	725	0	146	8688	9175.595	8688	9660	2	1	3	0	0x011b	0x0000	1	6	0x0000010e	1460	1	0x0000	0x00	0	0x00	1360171954	0	0.004	5440688.074419	1460048752.465917808	0.00148	4.8e-05	0.279663	0.04750167	0.09294176	0.004142976	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	16	453
B	8	0x0400000000004001	1465489440.440107000	1465489440.742567000	0.302460000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0800		104.16.66.50	us	"Cloudflare"	80	10.10.10.123	04	"Private network"	41529	6	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_6	DavidElec,TW_DeltaElec,TW	80	http	6	7	725	194	0	725	120.8333	241.868	0	0.278443	0.05041	0.09134521	19.83733	2397.011	-0.07692308	0.5778019	0x0a11	1	2918	53	53	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	848576782	6	725	0	6	194	0	725	29200	29612.64	29200	29696	0	1	1	0	0x031b	0x0000	1	3	0x0000000e	1380	1024	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.002662976	0.002662976	0.01257395	0.004572274	0.003050217	0.05207395	0.0929918	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	15	1955
A	2	0x0400000000004000	1465489438.834569000	1465489440.854571000	2.020002000	1	3	eth:ipv4:udp	20:f8:5e:ca:91:52	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	20:f8:5e:ca:91:52_ff:ff:ff:ff:ff:ff_4	DeltaElec,TW_Broadcast	67	bootps	4	0	1200	0	300	300	300	0	0	1.998072	0.5050005	0.7085664	1.980196	594.0588	1	1	0x0001	1	18	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	4	1200
A	3	0x0400000000004001	1465489438.834717000	1465489440.926273000	2.091556000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.123	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_4	DavidElec,TW_DeltaElec,TW	67	bootps	4	0	1200	0	300	300	300	0	0	1.915246	0.522889	0.6608982	1.912452	573.7355	-1	1	0x0001	10	459	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	5	1311
A	4	0x0000000000000044	1465489438.929740000	1465489441.839281000	2.909541000	1	2	eth:arp	20:f8:5e:ca:91:52	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	20:f8:5e:ca:91:52_ff:ff:ff:ff:ff:ff_4	DeltaElec,TW_Broadcast	0	unknown	4	0	184	0	46	46	46	0	0	1.090423	0.7273852	0.3238776	1.374787	63.24022	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
