%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	3	0x0400000000004000	1473089408.093358000	1473089408.411914000	0.318556000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	50645	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_10	DLinkInte,SG_DavidElec,TW	443	https	10	8	3127	767	0	1368	312.7	468.1807	0	0.302268	0.0318556	0.0843482	31.39165	9816.17	0.1111111	0.6060606	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	50982545	7	3127	0	7	736	0	1419	5840	3037.706	0	7038	1	1	2	0	0x011f	0x0000	8	26	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294949736	529102229	1	4294949736.000000	18446744070887691288.1299106880	0.002434	0.002207008	0.300469	0.044504	0.08916294	0.002776	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	6	3	3	12	3127
B	3	0x0400000000004001	1473089408.095792000	1473089408.411538000	0.315746000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	50645	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8	DavidElec,TW_DLinkInte,SG	443	https	8	10	767	3127	0	599	95.875	177.667	0	0.259008	0.03946825	0.07675137	25.33682	2429.168	-0.1111111	-0.6060606	0x0a13	1	40204	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1031386554	8	767	0	8	3127	0	630	17898	23362.39	17898	24576	0	3	1	0	0x031b	0x0000	8	26	0x0000011e	1380	256	0x0000	0x00	0	0x00	529102230	4294949736	1	529102230.000000	943987178.3516106880	0.000342	0.000183	0.004761	0.00142067	0.001389634	0.04592467	0.08917376	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	5	5	5	8	767
A	5	0x0400000000004000	1473089439.262981000	1473089439.507077000	0.244096000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	50654	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_9	DLinkInte,SG_DavidElec,TW	443	https	9	8	1510	751	0	968	167.7778	288.4733	0	0.190872	0.02712178	0.05468837	36.87074	6186.091	0.05882353	0.3356922	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	532548660	6	1510	0	6	720	0	968	5840	3033.002	0	7006	1	1	2	0	0x011f	0x0000	7	23	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294957510	529110003	1	4294957510.000000	18446744070887683545.775826368	0.002892	0.001964992	0.188873	0.03047787	0.05567176	0.003496	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	6	3	3	42	11377
B	5	0x0400000000004001	1473089439.265873000	1473089439.506645000	0.240772000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	50654	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8	DavidElec,TW_DLinkInte,SG	443	https	8	9	751	1510	0	583	93.875	172.9402	0	0.186908	0.0300965	0.05537364	33.22646	3119.134	-0.05882353	-0.3356922	0x0a13	1	46903	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2554831446	8	751	0	8	1510	0	614	17898	20454.52	17898	20992	0	2	1	0	0x031b	0x0000	8	26	0x0000011e	1380	256	0x0000	0x00	0	0x00	529110004	4294957510	1	529110004.000000	943979435.4133826368	0.000604	0.000297984	0.003172	0.001147254	0.0008466929	0.03162512	0.05567819	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	5	5	5	16	1518
A	6	0x0400000000004000	1473089457.411848000	1473089458.039803000	0.627955000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	50660	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_11	DLinkInte,SG_DavidElec,TW	443	https	11	8	4535	767	0	1368	412.2727	534.5009	0	0.611044	0.05708683	0.1651939	17.51718	7221.855	0.1578947	0.7106752	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	812674948	8	4535	0	8	736	0	2787	5840	3037.706	0	7038	1	1	2	0	0x011f	0x0000	9	29	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294962143	529114636	0.001	4294962.347000	1468794496.2859262632	0.002059008	0.001811	0.609145	0.07797538	0.1834371	0.002542016	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	6	3	3	66	20419
B	6	0x0400000000004001	1473089457.413907000	1473089458.039399000	0.625492000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	50660	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8	DavidElec,TW_DLinkInte,SG	443	https	8	11	767	4535	0	599	95.875	177.667	0	0.607114	0.0781865	0.1826805	12.78993	1226.235	-0.1578947	-0.7106752	0x0a13	1	23986	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	833159359	8	767	0	8	4535	0	630	17898	25502.27	17898	27392	0	3	1	0	0x031b	0x0000	8	26	0x0000011e	1380	256	0x0000	0x00	0	0x00	529114637	4294962143	0.001	529114.662132	1472560344.082163336	0.000483008	0.000279008	0.005376	0.001976103	0.001753978	0.07995148	0.1834455	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	5	5	5	24	2285
A	4	0x0000000000000044	1473089408.463843000	1473089485.770473000	77.306630000	1	2	eth:arp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_4	DavidElec,TW_DLinkInte,SG	0	unknown	4	4	112	184	28	28	28	0	0	35.48795	19.32666	12.18319	0.051742	1.448776	0	-0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
B	4	0x0000000000000045	1473089408.464134000	1473089485.770458000	77.306324000	1	2	eth:arp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_4	DLinkInte,SG_DavidElec,TW	0	unknown	4	4	184	112	46	46	46	0	0	35.48788	19.32658	12.18322	0.05174221	2.380142	0	0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1473089405.154117000	1473089490.786794000	85.632677000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	42307	52.28.131.102	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_39	DLinkInte,SG_DavidElec,TW	443	https	39	39	16379	14524	0	1380	419.9744	504.7437	0	5.008107	2.19571	2.237177	0.4554336	191.2704	0	0.06002653	0x0011	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1187406505	39	16379	0	39	14524	2	3507	17399	17399	17399	17399	0	0	0	0	0x0018	0x0120	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.002141008	5.007703	2.157891	2.269575	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	88	25551
B	2	0x0400000000004001	1473089405.153737000	1473089490.786390000	85.632653000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.131.102	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	42307	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_39	DavidElec,TW_DLinkInte,SG	443	https	39	39	14524	16379	0	1096	372.4102	475.8093	0	5.008071	2.195709	2.235743	0.4554338	169.6082	0	-0.06002653	0x0011	1	1	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1432117205	37	14525	0	39	16379	1	1096	2115	2115	2115	2115	0	0	0	0	0x0018	0x0298	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.00032704	0.187036	0.04763834	0.05701883	2.205529	2.270291	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	59	14524
