%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	13	0x0400000000004000	1461243033.675674000	1461243035.011858000	1.336184000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	60018	54.244.232.183	us	"Amazon Technologies Inc"	80	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_6	DLinkInte,SG_DavidElec,TW	80	http	6	4	137	660	0	137	22.83333	42.40079	0	0.82768	0.2226973	0.2495312	4.490399	102.5308	0.2	-0.6562108	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	669201862	5	137	0	5	660	0	137	5840	6707.24	5840	7160	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294917859	2883954584	0.001	4294918.062998	1456948117.3205068408	0.165027	0.164766	0.16723	0.1655135	0.0008170012	0.1670101	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	35	6427
B	13	0x0400000000004001	1461243033.840701000	1461243035.010579000	1.169878000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		54.244.232.183	us	"Amazon Technologies Inc"	80	10.10.10.176	04	"Private network"	60018	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_4	DavidElec,TW_DLinkInte,SG	80	http	4	6	660	137	0	660	165	234.9601	0	0.999963	0.2924695	0.3572436	3.41916	564.1614	-0.2	0.6562108	0x0a13	1	21671	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4113829548	4	660	0	4	137	0	660	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	2883954584	4294917818	0.001	2883954.720980	1458359081.1268085408	0.00198304	0.001279	0.834932	0.1416857	0.2775407	0.3071992	0.2775419	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	4	660
A	15	0x0400000000004000	1461243059.668715000	1461243060.299437000	0.630722000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	34402	52.29.29.242	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	847	4637	0	506	70.58334	135.8474	0	0.333289	0.05256017	0.08858194	19.02582	1342.906	0.1428571	-0.6911014	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1087753983	11	847	0	11	4637	0	506	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294924181	208624116	0.001	4294924.384998	1456948136.2699259576	0.002462016	0.002462016	0.330993	0.08054758	0.1261231	0.003758976	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	55	8815
B	15	0x0400000000004001	1461243059.671177000	1461243060.284649000	0.613472000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		52.29.29.242	us	"MAINT-APNIC-AP"	443	10.10.10.176	04	"Private network"	34402	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4637	847	0	1368	515.2222	489.8277	0	0.289269	0.06816356	0.08942976	14.6706	7558.617	-0.1428571	0.6911014	0x0a13	1	22006	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3749594405	9	4600	0	9	847	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	208624116	4294924094	0.001	208624.125909	1461034436.1055249464	0.00129696	0.00129696	0.170516	0.02946149	0.04239368	0.1100091	0.1330573	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	9	4637
A	16	0x0400000000004000	1461243060.513875000	1461243061.198329000	0.684454000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	34404	52.29.29.242	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_14	DLinkInte,SG_DavidElec,TW	443	https	14	11	2025	4685	0	1162	144.6429	298.0268	0	0.375537	0.04888957	0.09209919	20.45426	2958.562	0.12	-0.3964233	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1090504116	11	2025	0	11	4648	0	1162	5840	6641.727	0	14048	1	3	2	0	0x011f	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294924404	208624341	0.001	4294924.607998	1456948137.225474680	0.002667008	0.002489984	0.374212	0.04039472	0.1000578	0.003728	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	4	4	0.6666667	1	77	12063
B	16	0x0400000000004001	1461243060.516542000	1461243061.196633000	0.680091000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		52.29.29.242	us	"MAINT-APNIC-AP"	443	10.10.10.176	04	"Private network"	34404	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_11	DavidElec,TW_DLinkInte,SG	443	https	11	14	4685	2025	0	1368	425.9091	482.4656	0	0.371566	0.06182646	0.1015732	16.1743	6888.784	-0.12	0.3964233	0x0a13	1	34797	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1142643510	11	4685	0	11	2025	0	3817	17898	22669.46	17898	23552	0	4	1	0	0x031b	0x0000	11	35	0x0000011e	1380	256	0x0000	0x00	0	0x00	208624344	4294924404	0.001	208624.353909	1461034437.3005562680	0.001060992	0.001060992	0.1447	0.02244698	0.03614405	0.06284171	0.1063859	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	3	3	3	1	21	9322
A	19	0x0400000000004000	1461243061.295085000	1461243062.417157000	1.122072000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	34405	52.29.29.242	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	751	4493	0	410	62.58333	113.4949	0	0.591153	0.09350599	0.1608937	10.6945	669.2975	0.1428571	-0.7135774	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1104069168	11	751	0	11	4493	0	410	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294924710	208624579	0.1	429492477.399937	1031750585.145236288	0.002452992	0.002312	0.590251	0.1381224	0.2271148	0.003350016	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	4	0.5	2	108	14509
B	19	0x0400000000004001	1461243061.297538000	1461243062.139274000	0.841736000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		52.29.29.242	us	"MAINT-APNIC-AP"	443	10.10.10.176	04	"Private network"	34405	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4493	751	0	1368	499.2222	490.6641	0	0.547917	0.09352623	0.156913	10.69219	5337.778	-0.1428571	0.7135774	0x0a13	1	12146	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2277174197	9	4456	0	9	751	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	208624579	4294924493	0.001	208624.588909	1461034438.1246137528	0.000897024	0.000897024	0.277883	0.04484884	0.07691867	0.1829713	0.2397866	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	3	3	3	29	13815
A	24	0x0400000000004000	1461243064.061366000	1461243070.231879000	6.170513000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	53353	52.28.161.134	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_16	DLinkInte,SG_DavidElec,TW	443	https	16	16	543	4077	0	207	33.9375	65.15464	0	5.001177	0.3856571	1.164569	2.592977	87.99916	0	-0.7649351	0x4a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1155800330	13	543	0	13	3987	0	207	5840	5473.624	0	11360	1	2	2	0	0x011f	0x0020	2	8	0x0000013e	1460	2	0x0000	0x00	0	0x00	4294925121	0	0.004	17179701.299992	1444063363.936466856	0.002208	0.002122	5.000281	0.3185574	1.16492	0.002911	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	4	4	0.4444444	1	270	23335
B	24	0x0400000000004001	1461243064.063574000	1461243070.230512000	6.166938000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		52.28.161.134	us	"MAINT-APNIC-AP"	443	10.10.10.176	04	"Private network"	53353	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_16	DavidElec,TW_DLinkInte,SG	443	https	16	16	4077	543	0	1380	254.8125	410.9536	0	4.96007	0.3854337	1.158101	2.594481	661.1061	0	0.7649351	0x0a11	1	51877	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	534590992	13	4025	0	16	543	0	3464	8192	8191.74	8064	8192	1	1	1	0	0x031b	0x0050	1	6	0x0000001e	1380	128	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000703	0.000548992	0.923714	0.0767908	0.220155	0.3953483	1.18554	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	3	3	3	1	42	11384
