%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	13	0x0400000000004000	1473180720.243966000	1473180720.563251000	0.319285000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	39722	162.13.31.14	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_13	PhilipsLi,AE_DavidElec,TW	80	http	13	14	2694	5559	0	1257	207.2308	408.5168	0	0.193998	0.02456038	0.04661527	40.71597	8437.603	-0.03703704	-0.3471465	0x0813	39128	1	64	64	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3510721575	12	2694	0	12	5559	0	1257	29200	39585.35	29200	42408	0	5	1	0	0x011b	0x0000	13	41	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940417	6916761	1	4294940417.000000	18446744070887791919.610284224	0.018732	0.01848499	0.03093901	0.02366113	0.005050579	0.019126	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	6	15	1.363636	2.5	142	23106
B	13	0x0400000000004001	1473180720.262698000	1473180720.562887000	0.300189000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		162.13.31.14	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	39722	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_14	DavidElec,TW_PhilipsLi,AE	80	http	14	13	5559	2694	0	1368	397.0714	503.4019	0	0.213153	0.02144207	0.04921355	46.63729	18518.33	0.03703704	0.3471465	0x0813	1	1077	236	236	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4168352916	14	5559	0	14	2694	0	2309	4140	6636.1	4140	6834	0	3	1	0	0x031b	0x0000	14	44	0x00000116	1380	0	0x0000	0x00	0	0x00	6916761	4294940415	1	6916761.000000	1466263959.246284224	0.000394	0.000364032	0.194497	0.01556362	0.04789932	0.03922476	0.04816485	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	5	14	14	2.8	24	7397
A	17	0x0400000000004000	1473180720.588288000	1473180720.648218000	0.059930000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	39723	162.13.31.14	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_5	PhilipsLi,AE_DavidElec,TW	80	http	5	5	1194	855	0	1194	238.8	394.9034	0	0.043415	0.011986	0.01435399	83.43067	19923.24	0	0.1654466	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1259768285	4	1194	0	4	855	0	1194	29200	30005.8	29200	30780	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940426	6916849	1	4294940426.000000	18446744070887791910.3972905600	0.01516698	0.01477798	0.043032	0.02620918	0.01158854	0.01548902	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	4	13	1.181818	3.25	142	23106
B	17	0x0400000000004001	1473180720.603455000	1473180720.662996000	0.059541000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		162.13.31.14	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	39723	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_5	DavidElec,TW_PhilipsLi,AE	80	http	5	5	855	1194	0	855	171	282.7826	0	0.027945	0.0119082	0.008665333	83.97575	14359.85	0	-0.1654466	0x0813	2	1844	234	234	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3501598617	5	855	0	5	1194	0	855	4140	5047.321	4140	5334	0	1	1	0	0x031b	0x0000	5	17	0x00000116	1380	0	0x0000	0x00	0	0x00	6916865	4294940426	1	6916865.000000	1466263855.1571036416	0.000322048	0.000322048	0.001091968	0.000551616	0.0002599098	0.02676079	0.01159145	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	3	12	12	4	24	7397
A	19	0x0400000000004000	1473180720.650114000	1473180720.697740000	0.047626000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	39724	162.13.31.14	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_5	PhilipsLi,AE_DavidElec,TW	80	http	5	5	1210	983	0	1210	242	400.1953	0	0.030979	0.009525199	0.01037964	104.9847	25406.29	0	0.1035112	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3915954287	4	1210	0	4	983	0	1210	29200	29849.23	29200	30473	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940431	6916898	1	4294940431.000000	18446744070887791905.1955298048	0.01551699	0.01491898	0.03055494	0.02146618	0.006271316	0.01585504	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	2	11	1	5.5	142	23106
B	19	0x0400000000004001	1473180720.665631000	1473180720.712659000	0.047028000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		162.13.31.14	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	39724	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_5	DavidElec,TW_PhilipsLi,AE	80	http	5	5	983	1210	0	983	196.6	325.1173	0	0.016396	0.0094056	0.006137464	106.3196	20902.44	0	-0.1035112	0x0813	2	945	234	234	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2411125927	5	983	0	5	1210	0	983	4140	5059.479	4140	5350	0	1	1	0	0x031b	0x0000	5	17	0x00000116	1380	0	0x0000	0x00	0	0x00	6916914	4294940431	1	6916914.000000	1466263806.3989396160	0.000338048	0.000338048	0.000968064	0.0005308544	0.0002090424	0.02199703	0.006274799	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	1	10	10	10	24	7397
A	22	0x0400000000004000	1473180721.180719000	1473180721.258221000	0.077502000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	49826	5.79.62.93	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_6	PhilipsLi,AE_DavidElec,TW	80	http	6	6	1718	871	0	1120	286.3333	373.2231	0	0.043067	0.012917	0.01347696	77.41736	22167.17	0	0.3271534	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3996974573	5	1718	0	5	871	0	1120	29200	29855.35	29200	30485	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940487	6917457	1	4294940487.000000	18446744070887791850.522962240	0.01641899	0.01622202	0.042644	0.02513883	0.01089311	0.01679398	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	7	11	1.1	1.571429	149	23934
B	22	0x0400000000004001	1473180721.197138000	1473180721.274443000	0.077305000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		5.79.62.93	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	49826	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_6	DavidElec,TW_PhilipsLi,AE	80	http	6	6	871	1718	0	871	145.1667	282.2985	0	0.026094	0.01288417	0.008058215	77.61465	11267.06	0	-0.3271534	0x0813	2	1589	237	237	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	92181071	6	871	0	6	1718	0	871	4140	5488.582	4140	5858	0	2	1	0	0x031b	0x0000	6	20	0x00000116	1380	0	0x0000	0x00	0	0x00	6917475	4294940487	1	6917475.000000	1466263246.3860060352	0.000374992	0.000374992	0.001004992	0.0005349974	0.000198711	0.02567383	0.01089492	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	6	10	10	1.666667	19	2613
A	42	0x0400000000004000	1473180725.187009000	1473180725.284867000	0.097858000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	49827	5.79.62.93	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_6	PhilipsLi,AE_DavidElec,TW	80	http	6	6	1622	871	0	1024	270.3333	346.3603	0	0.040242	0.01630967	0.01181194	61.31334	16575.04	0	0.3012435	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2877740462	5	1622	0	5	871	0	1024	29200	29855.35	29200	30485	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940889	6921483	1	4294940889.000000	18446744070887791452.1399158464	0.017916	0.01766598	0.03989701	0.025189	0.009151735	0.018316	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	5	13	1.3	2.6	176	26950
B	42	0x0400000000004001	1473180725.204925000	1473180725.302533000	0.097608000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		5.79.62.93	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	49827	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_6	DavidElec,TW_PhilipsLi,AE	80	http	6	6	871	1622	0	871	145.1667	282.2985	0	0.038676	0.016268	0.01027646	61.47037	8923.449	0	-0.3012435	0x0813	2	2200	235	235	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	82225415	6	871	0	6	1622	0	871	4140	5415.632	4140	5762	0	2	1	0	0x031b	0x0000	6	20	0x00000116	1380	0	0x0000	0x00	0	0x00	6921501	4294940889	1	6921501.000000	1466259224.1885289280	0.0004	0.000344992	0.02081101	0.003887502	0.006281427	0.0290765	0.01110003	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	4	12	12	3	19	2613
