%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	33	0x0400000000004000	1471878164.470064000	1471878164.490536000	0.020472000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	44751	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	321	546	0	321	45.85714	93.59702	0	0.008986	0.002924572	0.00241966	341.9305	15679.95	0	-0.2595156	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	203375230	6	321	0	6	547	0	321	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	1679482	695508	1	1679482.000000	1470198682.909728256	0.000452	0.000235008	0.007553984	0.001781969	0.002373426	0.003736	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	124	124	124	1	389	14671
B	33	0x0408000000004001	1471878164.470516000	1471878164.490771000	0.020255000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	44751	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	546	321	0	528	78	160.2059	-2.5e-05	0.009339	0.002893572	0.00266499	345.5937	26956.31	0	0.2595156	0x0a13	2	54663	64	64	0	0x00	0x8044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1340754259	4	548	0	7	321	0	528	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0240	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	695508	1679482	1	695508.000000	1471182656.1144728256	0.003284	0.001456992	0.004456	0.002668859	0.0008932495	0.004450828	0.002535951	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	123	123	123	1	362	55867
A	36	0x0400000000004000	1471878164.657476000	1471878164.685314000	0.027838000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	58657	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	320	545	0	320	45.71429	93.30544	0	0.014246	0.003976857	0.004026585	251.4548	11495.08	0	-0.2601156	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	964290506	6	320	0	6	544	0	320	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	1679520	695527	1	1679520.000000	1470198644.2414199936	0.000360064	0.000315968	0.01272102	0.004004581	0.00494489	0.001940032	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	122	122	122	1	389	14671
B	36	0x0400000000004001	1471878164.657836000	1471878164.685649000	0.027813000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	58657	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	545	320	0	527	77.85714	159.9044	0	0.013962	0.003973286	0.004118601	251.6809	19595.15	0	0.2601156	0x0a13	1	51362	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3067958342	7	545	0	7	320	0	527	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0000	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	695528	1679520	1	695528.000000	1471182636.2749199936	0.001579968	0.001398016	0.006459968	0.002529417	0.001554357	0.006533998	0.005183432	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	121	121	121	1	362	55867
A	38	0x0400000000004000	1471878164.795397000	1471878164.818980000	0.023583000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	37407	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	321	546	0	321	45.85714	93.59702	0	0.015011	0.003369	0.004413376	296.824	13611.5	0	-0.2595156	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2229360612	6	321	0	6	547	0	321	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	1679548	695541	1	1679548.000000	1470198616.2936213760	0.000460032	0.000300032	0.01290099	0.002702753	0.004164788	0.002022016	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	126	126	126	1	409	15466
B	38	0x0408000000004001	1471878164.795857000	1471878164.819280000	0.023423000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	37407	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	546	321	0	528	78	160.2059	-5.4e-05	0.014348	0.003346143	0.004141955	298.8516	23310.42	0	0.2595156	0x0a13	2	9599	64	64	0	0x00	0x8044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2726017419	4	548	0	7	321	0	528	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0240	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	695541	1679548	1	695541.000000	1471182623.3236213760	0.001561984	0.001446976	0.002953984	0.001973833	0.0004464384	0.004676586	0.004188647	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	125	125	125	1	381	57737
A	67	0x0400000000004000	1471878174.778091000	1471878174.796628000	0.018537000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	42304	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	320	545	0	320	45.71429	93.30544	0	0.01049	0.002648143	0.003005157	377.6231	17262.77	0	-0.2601156	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	216847028	6	320	0	6	544	0	320	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	1681543	696539	1	1681543.000000	1470196631.2059050240	0.000417024	0.000210048	0.008481984	0.002783013	0.003238035	0.001768	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	180	180	180	1	573	21273
B	67	0x0400000000004001	1471878174.778508000	1471878174.796838000	0.018330000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	42304	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	545	320	0	527	77.85714	159.9044	0	0.009797	0.002618572	0.00276622	381.8876	29732.68	0	0.2601156	0x0a13	1	28562	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1653198666	7	545	0	7	320	0	527	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0000	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	696539	1681543	1	696539.000000	1471181635.2269050240	0.001350976	0.001288	0.002891968	0.001809701	0.0004885406	0.004592713	0.003274682	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	179	179	179	1	526	83516
A	1	0x0400000000004000	1471878143.366797000	1471878143.381263000	0.014466000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	46613	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_6	SamsungEl,KR_PhilipsLi,AE	80	http	6	4	202	885	0	202	33.66667	62.51795	0	0.004241	0.002411	0.000898609	414.7657	13963.78	0.2	-0.6283349	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3040755305	5	202	0	5	886	0	0	65535	11590.97	685	65535	1	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	1675260	693397	1	1675260.000000	1470202883.3305877952	0	9.92e-07	0.001136	0.000429	0.0003292132	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	294	294	294	1	933	33191
B	1	0x0400000000004001	1471878143.373701000	1471878143.381510000	0.007809000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	46613	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_4	PhilipsLi,AE_SamsungEl,KR	80	http	4	6	885	202	0	868	221.25	307.1452	0	0.005311	0.00195225	0.00174533	512.2295	113330.8	-0.2	0.6283349	0x0013	1	34477	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2437997083	4	886	0	4	0	0	17	3754	3754	3754	3754	0	0	0	0	0x0119	0x0000	4	12	0x00000102	0	1	0x0000	0x00	0	0x00	693398	1675260	1	693398.000000	1471184745.3552877952	0	0.001695008	0.005064	0.001581664	0.001690644	0.002010664	0.001722399	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	293	293	293	1	835	142932
