%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	9	0x0400000000004000	1473673050.857580000	1473673050.857580000	0.000000000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:1a:22:03:cb:be	0x0800		10.10.10.30	04	"Private network"	49127	10.10.10.129	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:1a:22:03:cb:be_1	SamsungEl,KR_eQ3Entwic,DE	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2474346548	0	0	0	0	0	0	0	65535	65535	65535	65535	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	30615869	0	0.004	122463.481817	1473550587.2399692096	0.00038496	0.00038496	0.00038496	0.00038496	0	0.00038496	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	2	2	1	1	0
B	9	0x0400000000004001	1473673050.857965000	1473673050.857965000	0.000000000	1	3	eth:ipv4:tcp	00:1a:22:03:cb:be	38:0b:40:ef:85:41	0x0800		10.10.10.129	04	"Private network"	80	10.10.10.30	04	"Private network"	49127	6	0x00	1	00:1a:22:03:cb:be_38:0b:40:ef:85:41_1	eQ3Entwic,DE_SamsungEl,KR	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.00038496	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	13	491
A	10	0x0400000000004000	1473673051.852783000	1473673051.852783000	0.000000000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:1a:22:03:cb:be	0x0800		10.10.10.30	04	"Private network"	49127	10.10.10.129	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:1a:22:03:cb:be_1	SamsungEl,KR_eQ3Entwic,DE	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2474346548	0	0	0	0	0	0	0	65535	65535	65535	65535	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	30616069	0	0.004	122464.281817	1473550587.2097659392	0.000356032	0.000356032	0.000356032	0.000356032	0	0.000356032	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	2	2	1	2	0
B	10	0x0400000000004001	1473673051.853139000	1473673051.853139000	0.000000000	1	3	eth:ipv4:tcp	00:1a:22:03:cb:be	38:0b:40:ef:85:41	0x0800		10.10.10.129	04	"Private network"	80	10.10.10.30	04	"Private network"	49127	6	0x00	1	00:1a:22:03:cb:be_38:0b:40:ef:85:41_1	eQ3Entwic,DE_SamsungEl,KR	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000356032	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	14	491
A	11	0x0400000000004000	1473673068.040593000	1473673068.040593000	0.000000000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:1a:22:03:cb:be	0x0800		10.10.10.30	04	"Private network"	35262	10.10.10.129	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:1a:22:03:cb:be_1	SamsungEl,KR_eQ3Entwic,DE	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3027298884	0	0	0	0	0	0	0	65535	65535	65535	65535	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	30619306	0	0.004	122477.229817	1473550591.1708477336	0.000331	0.000331	0.000331	0.000331	0	0.000331	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	2	2	1	3	0
B	11	0x0400000000004001	1473673068.040924000	1473673068.040924000	0.000000000	1	3	eth:ipv4:tcp	00:1a:22:03:cb:be	38:0b:40:ef:85:41	0x0800		10.10.10.129	04	"Private network"	80	10.10.10.30	04	"Private network"	35262	6	0x00	1	00:1a:22:03:cb:be_38:0b:40:ef:85:41_1	eQ3Entwic,DE_SamsungEl,KR	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000331	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	22	503
A	12	0x0400000000004000	1473673069.037799000	1473673069.037799000	0.000000000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:1a:22:03:cb:be	0x0800		10.10.10.30	04	"Private network"	35262	10.10.10.129	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:1a:22:03:cb:be_1	SamsungEl,KR_eQ3Entwic,DE	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3027298884	0	0	0	0	0	0	0	65535	65535	65535	65535	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	30619506	0	0.004	122478.029817	1473550591.3409444632	0.000408	0.000408	0.000408	0.000408	0	0.000408	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	2	2	1	4	0
B	12	0x0400000000004001	1473673069.038207000	1473673069.038207000	0.000000000	1	3	eth:ipv4:tcp	00:1a:22:03:cb:be	38:0b:40:ef:85:41	0x0800		10.10.10.129	04	"Private network"	80	10.10.10.30	04	"Private network"	35262	6	0x00	1	00:1a:22:03:cb:be_38:0b:40:ef:85:41_1	eQ3Entwic,DE_SamsungEl,KR	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000408	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	23	503
A	13	0x0400000000004000	1473673085.235803000	1473673085.235803000	0.000000000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:1a:22:03:cb:be	0x0800		10.10.10.30	04	"Private network"	52361	10.10.10.129	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:1a:22:03:cb:be_1	SamsungEl,KR_eQ3Entwic,DE	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	446339433	0	0	0	0	0	0	0	65535	65535	65535	65535	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	30622745	0	0.004	122490.985818	1473550595.2888948016	0.000361984	0.000361984	0.000361984	0.000361984	0	0.000361984	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	2	2	1	5	0
B	13	0x0400000000004001	1473673085.236165000	1473673085.236165000	0.000000000	1	3	eth:ipv4:tcp	00:1a:22:03:cb:be	38:0b:40:ef:85:41	0x0800		10.10.10.129	04	"Private network"	80	10.10.10.30	04	"Private network"	52361	6	0x00	1	00:1a:22:03:cb:be_38:0b:40:ef:85:41_1	eQ3Entwic,DE_SamsungEl,KR	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000361984	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	26	507
