%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1471866039.920471000	1471866060.745987000	20.825516000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	50:c7:bf:00:fc:a3	0x0800		52.18.200.165	us	"MAINT-APNIC-AP"	50443	10.10.10.228	04	"Private network"	52939	6	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_8	DavidElec,TW_TPLinkTec,CN	52939	unknown	8	2	1379	0	0	197	172.375	60.94377	0	16.46828	2.60319	4.885387	0.3841442	66.21685	0.6	1	0x0013	1	2930	44	44	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2209757457	2	197	0	8	0	2	0	91	91	91	91	0	0	0	0	0x0018	0x0148	8	24	0x00000102	0	0	0x0000	0x00	0	0x00	244487223	4294913405	0.001	244487.234613	1471621573.2723045792	0	0.001131968	0.37871	0.189921	0.133494	0.000513024	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	8	1379
B	1	0x0400000000004001	1471866060.745474000	1471866060.747119000	0.001645000	1	3	eth:ipv4:tcp	50:c7:bf:00:fc:a3	00:b5:6d:06:08:ba	0x0800		10.10.10.228	04	"Private network"	52939	52.18.200.165	us	"MAINT-APNIC-AP"	50443	6	0x00	1	50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_2	TPLinkTec,CN_DavidElec,TW	52939	unknown	2	8	0	1379	0	0	0	0	0	0.001645	0.0008225	0.0005815953	1215.806	0	-0.6	-1	0x0013	61365	0	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1961439364	0	0	0	0	0	0	0	5840	4088	0	5840	1	0	0	0	0x0006	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294910159	0	0.004	17179641.451989	1454686419.1992668792	0.000513024	0.000513024	0.000513024	0.000513024	0	0.190434	0.133494	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	5	119
A	3	0x0000000000000004	1471866058.326895000	1471866058.336948000	0.010053000	1	2	eth:eapol	50:c7:bf:00:fc:a3	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:fc:a3_28:b2:bd:c3:41:78_2	TPLinkTec,CN_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.010053	0.0050265	0.003554272	198.9456	21884.01	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	4	0x0400000000004000	1471866060.366630000	1471866060.375785000	0.009155000	1	3	eth:ipv4:udp	50:c7:bf:00:fc:a3	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	50:c7:bf:00:fc:a3_ff:ff:ff:ff:ff:ff_2	TPLinkTec,CN_Broadcast	67	bootps	2	0	1096	0	548	548	548	0	0	0.009155	0.0045775	0.003236781	218.4599	119716	1	1	0x0001	0	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	1096
A	5	0x0400000000004001	1471866060.366815000	1471866060.441622000	0.074807000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:fc:a3	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.228	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_2	DavidElec,TW_TPLinkTec,CN	67	bootps	2	0	600	0	300	300	300	0	0	0.074807	0.0374035	0.02644827	26.73546	8020.64	-1	1	0x0001	1	1	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	5	1	1	0.2	4	1145
A	7	0x0400000000004000	1471866060.482468000	1471866060.482468000	0.000000000	1	3	eth:ipv4:udp	50:c7:bf:00:fc:a3	00:b5:6d:06:08:ba	0x0800		10.10.10.228	04	"Private network"	33653	10.10.10.1	04	"Private network"	53	17	0x00	1	50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_1	TPLinkTec,CN_DavidElec,TW	53	domain	1	1	33	173	33	33	33	0	0	0	0	0	0	0	0	-0.6796116	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001264992	0.001264992	0.001264992	0.001264992	0	0.001264992	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	4	4	1.333333	1	27	4026
B	7	0x0400000000004001	1471866060.483733000	1471866060.483733000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:fc:a3	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.228	04	"Private network"	33653	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_1	DavidElec,TW_TPLinkTec,CN	53	domain	1	1	173	33	173	173	173	0	0	0	0	0	0	0	0	0.6796116	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.001264992	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	3	3	3	1	4	1145
A	8	0x0400000000004000	1471866060.607171000	1471866060.607171000	0.000000000	1	3	eth:ipv4:udp	50:c7:bf:00:fc:a3	00:b5:6d:06:08:ba	0x0800		10.10.10.228	04	"Private network"	46336	129.6.15.28	us	"National Institute of Standard"	123	17	0x00	1	50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_1	TPLinkTec,CN_DavidElec,TW	123	ntp	1	1	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.171263	0.171263	0.171263	0.171263	0	0.171263	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1	27	4026
B	8	0x0400000000004001	1471866060.778434000	1471866060.778434000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:fc:a3	0x0800		129.6.15.28	us	"National Institute of Standard"	123	10.10.10.228	04	"Private network"	46336	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_1	DavidElec,TW_TPLinkTec,CN	123	ntp	1	1	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0x0001	65535	0	48	48	0	0x10	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.171263	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1	1	1	48
A	6	0x0000000000000044	1471866060.481021000	1471866060.645044000	0.164023000	1	2	eth:arp	50:c7:bf:00:fc:a3	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:fc:a3_ff:ff:ff:ff:ff:ff_2	TPLinkTec,CN_Broadcast	0	unknown	2	0	56	0	28	28	28	0	0	0.164023	0.08201151	0.05799089	12.19341	341.4155	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
