%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	10	0x0400000000004000	1473432722.769119000	1473432722.769180000	0.000061000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		52.49.65.150	us	"Amazon Technologies Inc"	50443	10.10.10.20	04	"Private network"	47419	6	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_2	DavidElec,TW_TPLinkTec,CN	47419	unknown	2	2	37	0	0	37	18.5	13.08148	0	6.1e-05	3.05e-05	2.156676e-05	32786.89	606557.4	0	1	0x0013	1	1	43	43	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1797491391	2	37	0	2	0	0	0	126	126	126	126	0	0	0	0	0x0119	0x3000	2	6	0x00000102	0	0	0x0000	0x00	0	0x00	636153799	4294923672	0.01	6361537.847809	1467071185.3828013312	0	0.001308992	0.001308992	0.001308992	0	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	2	37
B	10	0x0400000000004001	1473432722.770489000	1473432722.773454000	0.002965000	1	3	eth:ipv4:tcp	50:c7:bf:00:c7:03	00:b5:6d:06:08:ba	0x0800		10.10.10.20	04	"Private network"	47419	52.49.65.150	us	"Amazon Technologies Inc"	50443	6	0x00	1	50:c7:bf:00:c7:03_00:b5:6d:06:08:ba_2	TPLinkTec,CN_DavidElec,TW	47419	unknown	2	2	0	37	0	0	0	0	0	0.002965	0.0014825	0.001048286	674.5363	0	0	-1	0x0011	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1347929142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.001308992	0	0x53	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	15	990
A	1	0x0000000000000004	1473432718.233195000	1473432718.243030000	0.009835000	1	2	eth:eapol	50:c7:bf:00:c7:03	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:c7:03_28:b2:bd:c3:41:78_2	TPLinkTec,CN_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.009835	0.0049175	0.003477198	203.3554	22369.09	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1473432720.060389000	1473432720.064928000	0.004539000	1	3	eth:ipv4:udp	50:c7:bf:00:c7:03	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	50:c7:bf:00:c7:03_ff:ff:ff:ff:ff:ff_2	TPLinkTec,CN_Broadcast	67	bootps	2	0	1096	0	548	548	548	0	0	0.004539	0.0022695	0.001604779	440.6257	241462.9	1	1	0x0001	0	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	1096
A	3	0x0400000000004001	1473432720.060661000	1473432720.128273000	0.067612000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.20	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_2	DavidElec,TW_TPLinkTec,CN	67	bootps	2	0	600	0	300	300	300	0	0	0.067612	0.033806	0.02390445	29.58055	8874.164	-1	1	0x0001	5	5	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	9	1	1	0.1111111	6	1689
A	6	0x0400000000004000	1473432720.160415000	1473432720.160415000	0.000000000	1	3	eth:ipv4:udp	50:c7:bf:00:c7:03	00:b5:6d:06:08:ba	0x0800		10.10.10.20	04	"Private network"	57844	10.10.10.1	04	"Private network"	53	17	0x00	1	50:c7:bf:00:c7:03_00:b5:6d:06:08:ba_1	TPLinkTec,CN_DavidElec,TW	53	domain	1	1	33	106	33	33	33	0	0	0	0	0	0	0	0	-0.5251799	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.342961	0.342961	0.342961	0.342961	0	0.342961	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	8	8	1.6	1	35	5310
B	6	0x0400000000004001	1473432720.503376000	1473432720.503376000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.20	04	"Private network"	57844	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_1	DavidElec,TW_TPLinkTec,CN	53	domain	1	1	106	33	106	106	106	0	0	0	0	0	0	0	0	0.5251799	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.342961	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	7	7	7	1	6	1689
A	7	0x0400000000004000	1473432720.347548000	1473432720.347548000	0.000000000	1	3	eth:ipv4:udp	50:c7:bf:00:c7:03	00:b5:6d:06:08:ba	0x0800		10.10.10.20	04	"Private network"	33314	10.10.10.1	04	"Private network"	53	17	0x00	1	50:c7:bf:00:c7:03_00:b5:6d:06:08:ba_1	TPLinkTec,CN_DavidElec,TW	53	domain	1	1	38	372	38	38	38	0	0	0	0	0	0	0	0	-0.8146341	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.070948	0.070948	0.070948	0.070948	0	0.070948	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	6	6	1.2	1	35	5310
B	7	0x0400000000004001	1473432720.418496000	1473432720.418496000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.20	04	"Private network"	33314	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_1	DavidElec,TW_TPLinkTec,CN	53	domain	1	1	372	38	372	372	372	0	0	0	0	0	0	0	0	0.8146341	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.070948	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	5	5	5	1	6	1689
A	4	0x0000000000000044	1473432720.158921000	1473432722.110976000	1.952055000	1	2	eth:arp	50:c7:bf:00:c7:03	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:c7:03_ff:ff:ff:ff:ff:ff_2	TPLinkTec,CN_Broadcast	0	unknown	2	0	56	0	28	28	28	0	0	1.952055	0.9760275	0.6901557	1.024561	28.68772	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
