%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	16	0x0400000000004000	1461320008.101831000	1461320009.906855000	1.805024000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	3518	54.225.140.113	us	"Amazon Technologies Inc"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_37	BelkinInt,US_DavidElec,TW	8443	pcsync-https	37	32	24938	7016	0	1368	674	622.2547	0	0.447041	0.04878443	0.07622004	20.49834	13815.88	0.07246377	0.5608687	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3240463639	33	24938	0	33	6979	0	4104	5840	5756.803	0	16784	1	4	2	0	0x011f	0x0000	34	104	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294914146	1395030147	1	4294914146.000000	18446744070875957479.1197115648	0.098073	0.001396	0.439214	0.08739795	0.09808654	0.099777	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	50	25363
B	16	0x0400000000004001	1461320008.199904000	1461320009.904756000	1.704852000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		54.225.140.113	us	"Amazon Technologies Inc"	8443	10.10.10.158	04	"Private network"	3518	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_32	DavidElec,TW_BelkinInt,US	8443	pcsync-https	32	37	7016	24938	0	1368	219.25	433.1325	0	0.339393	0.05327662	0.07434955	18.76996	4115.313	-0.07246377	-0.5608687	0x0a13	1	12607	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1588616212	32	7016	0	32	24938	0	4899	14480	42482.6	14480	42496	0	10	1	0	0x031b	0x0000	32	98	0x0000011e	1380	256	0x0000	0x00	0	0x00	1395030177	4294914146	1	1395030177.000000	66289832.2812867840	0.001704	0.000699008	0.130433	0.0183415	0.02728954	0.1057395	0.101812	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	32	7016
A	21	0x0400000000004000	1461320018.698036000	1461320019.644465000	0.946429000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	4383	50.17.221.66	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_21	BelkinInt,US_DavidElec,TW	8443	pcsync-https	21	16	8843	5496	0	1368	421.0952	562.1486	0	0.143014	0.04506805	0.04826638	22.18867	9343.543	0.1351351	0.2334193	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3256003113	17	8843	0	17	5459	0	4104	5840	5724.01	0	16784	1	4	2	0	0x011f	0x0000	18	56	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294916580	1299896114	0.001	4294916.783998	1457025103.3091091000	0.1073141	0.03713299	0.114202	0.09834121	0.01602286	0.109201	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	77	34471
B	21	0x0400000000004001	1461320018.805350000	1461320019.641015000	0.835665000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		50.17.221.66	us	"Amazoncom"	8443	10.10.10.158	04	"Private network"	4383	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_16	DavidElec,TW_BelkinInt,US	8443	pcsync-https	16	21	5496	8843	0	1368	343.5	481.2947	0	0.241555	0.05222907	0.06452392	19.14643	6576.798	-0.1351351	-0.2334193	0x0a13	1	44889	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	710079020	16	5496	0	16	8843	0	4899	14480	33496.47	14480	35072	0	7	1	0	0x031b	0x0000	16	50	0x0000011e	1380	256	0x0000	0x00	0	0x00	1299896140	4294916580	0.001	1299896.201742	1460020123.863131896	0.001886976	0.001886976	0.14011	0.02828516	0.03458745	0.1266264	0.03811855	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	16	5496
A	27	0x0400000000004000	1461320027.788334000	1461320028.937586000	1.149252000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	3535	54.225.140.113	us	"Amazon Technologies Inc"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_29	BelkinInt,US_DavidElec,TW	8443	pcsync-https	29	24	18093	5400	0	1368	623.8965	602.0597	0	0.144458	0.03962938	0.04149559	25.2338	15743.28	0.09433962	0.5402886	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3259149129	25	18093	0	25	5363	0	4104	5840	5755.015	0	16784	1	4	2	0	0x011f	0x0000	26	80	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294918904	1395034909	0.1	429491896.799928	1031828132.4118417576	0.09762099	0.000430016	0.139074	0.06814883	0.03746384	0.09968301	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	125	57728
B	27	0x0400000000004001	1461320027.885955000	1461320028.936338000	1.050383000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		54.225.140.113	us	"Amazon Technologies Inc"	8443	10.10.10.158	04	"Private network"	3535	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_24	DavidElec,TW_BelkinInt,US	8443	pcsync-https	24	29	5400	18093	0	1368	225	421.2717	0	0.215378	0.04376596	0.04944501	22.84881	5140.982	-0.09433962	-0.5402886	0x0a13	1	40497	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3551847949	24	5400	0	24	18093	0	4899	14480	42263.58	14480	42496	0	10	1	0	0x031b	0x0000	24	74	0x0000011e	1380	256	0x0000	0x00	0	0x00	1395034936	4294918904	0.1	139503495.678764	1321816533.3651332768	0.002062016	1.024e-06	0.116607	0.01717503	0.02390915	0.08532386	0.04444308	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	56	12416
A	28	0x0400000000004000	1461320028.967552000	1461320029.286463000	0.318911000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	4714	54.235.195.29	us	"Amazon Technologies Inc"	3475	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	12	0	349	58.16667	108.0137	0	0.106785	0.05315183	0.04311444	18.81403	1094.349	0.2	0.933518	0x0213	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3259741646	5	349	0	5	12	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294919015	191380396	0.001	4294919.218998	1457025110.2776161464	0.10242	0.101624	0.102542	0.1022247	0.0002723461	0.106785	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	146	63110
B	28	0x0400000000004001	1461320029.069972000	1461320029.284216000	0.214244000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		54.235.195.29	us	"Amazon Technologies Inc"	3475	10.10.10.158	04	"Private network"	4714	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	12	349	0	12	3	4.272002	0	0.108069	0.053561	0.04147501	18.6703	56.01091	-0.2	-0.933518	0x0a13	1	26133	24	24	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1727258298	4	12	0	4	349	0	12	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	191380396	4294918989	1	191380396.000000	1269939633.748158464	0.004365	0.002247008	0.006445	0.003840166	0.001233688	0.1060649	0.001263391	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	4	12
A	2	0x0000000000000004	1461319992.062418000	1461319992.062418000	0.000000000	1	2	eth:llc	94:10:3e:41:c2:05	ff:ff:ff:ff:ff:ff	0x0001		-	-	"-"	0	-	-	"-"	0	0	0x00	1	94:10:3e:41:c2:05_ff:ff:ff:ff:ff:ff_1	BelkinInt,US_Broadcast	0	unknown	1	0	3	0	3	3	3	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	1	0x0000000000000004	1461319990.070447000	1461319992.074594000	2.004147000	1	2	eth:eapol	94:10:3e:41:c2:05	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	94:10:3e:41:c2:05_28:b2:bd:c3:41:78_4	BelkinInt,US_IntelCorp,MY	0	unknown	4	0	440	0	99	121	110	8.599094	0	1.993793	0.5010368	0.7085302	1.995862	219.5448	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
