%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	12	0x0400000000004000	1471453464.763639000	1471453466.867798000	2.104159000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	3116	50.19.90.237	us	"Amazoncom"	443	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_80	BelkinInt,US_DavidElec,TW	443	https	80	62	83778	6019	0	1380	1047.225	534.2098	0	0.346137	0.02630199	0.04383034	38.01994	39815.43	0.1267606	0.8659421	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1948756209	77	82975	0	77	5982	0	4218	5840	8271.199	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09812704	4e-06	0.10365	0.04066925	0.03851103	0.09952506	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	120	95792
B	12	0x0400000000004001	1471453464.861766000	1471453466.857281000	1.995515000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		50.19.90.237	us	"Amazoncom"	443	10.10.10.124	04	"Private network"	3116	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_62	DavidElec,TW_BelkinInt,US	443	https	62	80	6019	83778	0	1380	97.08064	310.8348	0	0.463455	0.03218572	0.05979043	31.06967	3016.264	-0.1267606	-0.8659421	0x0a11	1	31044	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	820908081	62	6019	0	62	83779	0	5513	14600	83280.48	14600	84224	2	29	3	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001398016	2.8e-05	0.36499	0.01692715	0.03898688	0.0575964	0.05480033	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	62	6019
A	16	0x0400000000004000	1471453466.869290000	1471453467.939445000	1.070155000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	3304	107.22.199.21	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_31	BelkinInt,US_DavidElec,TW	8443	pcsync-https	31	28	21356	5800	0	1380	688.9032	610.4973	0	0.117848	0.03452113	0.03398854	28.96777	19955.99	0.05084746	0.5728384	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1958922070	28	21356	0	28	5763	0	4140	5840	8270.263	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.101143	0.001430016	0.113638	0.05919857	0.03790407	0.102058	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	4	0.4444444	2	159	117527
B	16	0x0400000000004001	1471453466.970433000	1471453467.938183000	0.967750000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		107.22.199.21	us	"Amazoncom"	8443	10.10.10.124	04	"Private network"	3304	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_28	DavidElec,TW_BelkinInt,US	8443	pcsync-https	28	31	5800	21356	0	1380	207.1429	411.2278	0	0.162248	0.0345625	0.04220578	28.93309	5993.283	-0.05084746	-0.5728384	0x0a11	1	22152	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	285986482	28	5800	0	28	21356	0	4899	14600	42118.34	14600	42240	0	12	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000914944	0.000603008	0.09156499	0.01514896	0.02041957	0.07434753	0.04305436	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	3	3	3	28	5800
A	19	0x0400000000004000	1471453468.192817000	1471453469.719064000	1.526247000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	4966	23.23.97.224	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_47	BelkinInt,US_DavidElec,TW	8443	pcsync-https	47	36	40760	6680	0	1380	867.2341	608.6079	0	0.145622	0.03247334	0.03627229	30.79449	26706.03	0.1325301	0.7183811	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1946724507	44	40760	0	44	6643	0	4140	5840	8271.197	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.101183	2.7008e-05	0.14437	0.0597528	0.04316108	0.102403	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	2	4	0.4	2	277	228176
B	19	0x0400000000004001	1471453468.294000000	1471453469.717417000	1.423417000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		23.23.97.224	us	"Amazoncom"	8443	10.10.10.124	04	"Private network"	4966	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_36	DavidElec,TW_BelkinInt,US	8443	pcsync-https	36	47	6680	40760	0	1380	185.5556	408.5128	0	0.19428	0.03953937	0.04228438	25.29125	4692.933	-0.1325301	-0.7183811	0x0a11	1	49332	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1238547691	36	6680	0	36	40760	0	4899	14600	42236.58	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.00122	2.8032e-05	0.09115799	0.01107811	0.01580608	0.07083091	0.04596424	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	1	3	3	3	36	6680
A	21	0x0400000000004000	1471453470.283090000	1471453471.343015000	1.059925000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	4638	23.23.236.208	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_29	BelkinInt,US_DavidElec,TW	8443	pcsync-https	29	23	18766	6472	0	1380	647.1035	613.4747	0	0.118032	0.03654914	0.03903593	27.36043	17705.03	0.1153846	0.4871226	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1954711641	26	18766	0	26	6435	0	4140	5840	8269.287	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09929901	0.009343	0.116847	0.075312	0.03461863	0.100142	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	2	4	0.4	2	338	284250
B	21	0x0400000000004001	1471453470.382389000	1471453471.341652000	0.959263000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		23.23.236.208	us	"Amazoncom"	8443	10.10.10.124	04	"Private network"	4638	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_23	DavidElec,TW_BelkinInt,US	8443	pcsync-https	23	29	6472	18766	0	1380	281.3913	481.9849	0	0.169787	0.04170708	0.04558946	23.97674	6746.846	-0.1153846	-0.4871226	0x0a11	1	58731	27	27	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1593156313	23	6472	0	23	18766	0	4899	14600	41922.79	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000843008	0.000843008	0.06751501	0.009412856	0.01489077	0.08472486	0.03768534	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	1	3	3	3	23	6472
A	17	0x0400000000004000	1471453467.040579000	1471453467.349190000	0.308611000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	4169	50.19.247.85	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	13	0	349	58.16667	108.0137	0	0.100505	0.05143517	0.04012454	19.44195	1130.874	0.2	0.9281768	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1956222604	5	349	0	5	13	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.098725	0.09839901	0.09903699	0.09877575	0.0001993669	0.099731	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	339	284258
B	17	0x0400000000004001	1471453467.139304000	1471453467.348378000	0.209074000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		50.19.247.85	us	"Amazoncom"	3475	10.10.10.124	04	"Private network"	4169	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	13	349	0	13	3.25	4.628002	0	0.107583	0.0522685	0.04038378	19.13198	62.17894	-0.2	-0.9281768	0x0a11	1	18340	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	421822489	4	13	0	4	349	0	13	14600	15435.7	14600	15872	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001006	0.000812032	0.009184	0.002580336	0.00246793	0.1013561	0.00247597	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	4	13
