%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	34	0x0400000000004000	1473430504.543331000	1473430506.493322000	1.949991000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	3200	23.23.97.224	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_34	BelkinInt,US_DavidElec,TW	8443	pcsync-https	34	29	24087	7144	0	1380	708.4412	638.498	0	0.618824	0.05735268	0.1069778	17.43598	12352.37	0.07936508	0.5425059	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3320705967	31	24087	0	31	7107	0	4141	5840	8270.879	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09856698	0.003639008	0.150109	0.07490182	0.03780584	0.099448	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	61	25480
B	34	0x0400000000004001	1473430504.641898000	1473430506.492266000	1.850368000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		23.23.97.224	us	"Amazoncom"	8443	10.10.10.144	04	"Private network"	3200	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_29	DavidElec,TW_BelkinInt,US	8443	pcsync-https	29	34	7144	24087	0	1380	246.3448	453.8369	0	0.718621	0.0638058	0.1329125	15.67256	3860.854	-0.07936508	-0.5425059	0x0a11	1	9696	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1277191080	29	7144	0	29	24087	0	4899	14600	42203.44	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000881024	0.000705	0.625164	0.05227173	0.1458232	0.1271735	0.1506443	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	29	7144
A	43	0x0400000000004000	1473430510.227112000	1473430511.087715000	0.860603000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	3410	50.16.203.253	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_22	BelkinInt,US_DavidElec,TW	8443	pcsync-https	22	18	9863	6472	0	1380	448.3182	571.9753	0	0.153896	0.03911832	0.04571543	25.56347	11460.57	0.1	0.2075911	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3320509184	19	9863	0	19	6435	0	4140	5840	8247.966	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09831299	0.037272	0.152951	0.1003686	0.02224625	0.09902899	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	86	35409
B	43	0x0400000000004001	1473430510.325425000	1473430511.086776000	0.761351000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		50.16.203.253	us	"Amazoncom"	8443	10.10.10.144	04	"Private network"	3410	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_18	DavidElec,TW_BelkinInt,US	8443	pcsync-https	18	22	6472	9863	0	1380	359.5555	518.7212	0	0.155374	0.04229727	0.04814712	23.64218	8500.679	-0.1	-0.2075911	0x0a11	1	51708	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1599129048	18	6472	0	18	9863	0	4899	14600	37044.14	14600	38144	0	8	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000716	0.000553984	0.05496298	0.006871909	0.01208676	0.1072405	0.02531769	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	18	6472
A	29	0x0400000000004000	1473430502.322014000	1473430502.648118000	0.326104000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	3732	50.19.247.85	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	13	0	349	58.16667	108.0137	0	0.108902	0.05435067	0.04457603	18.39904	1070.211	0.2	0.9281768	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3318266016	5	349	0	5	13	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.106816	0.106594	0.107362	0.107031	0.0002771335	0.107778	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	86	35409
B	29	0x0400000000004001	1473430502.428830000	1473430502.646568000	0.217738000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		50.19.247.85	us	"Amazoncom"	3475	10.10.10.144	04	"Private network"	3732	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	13	349	0	13	3.25	4.628002	0	0.108625	0.0544345	0.04224584	18.3707	59.70478	-0.2	-0.9281768	0x0a11	1	44259	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	727258211	4	13	0	4	349	0	13	14600	15435.7	14600	15872	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000961984	0.000961984	0.001750976	0.001245333	0.0002622927	0.1082763	0.0003815763	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	4	13
A	75	0x0400000000004000	1473430528.012018000	1473430529.711429000	1.699411000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	4033	54.243.146.41	us	"Amazon Technologies Inc"	8443	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_40	BelkinInt,US_DavidElec,TW	8443	pcsync-https	40	33	32153	6472	0	1380	803.825	617.2518	0	0.181742	0.04248527	0.04477973	23.53757	18920.08	0.09589041	0.6648803	0x0a11	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3340316735	39	32153	0	39	6473	0	4141	5840	16879.96	5840	16880	0	4	1	0	0x041e	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.099521	0.005091008	0.115883	0.06240882	0.03750951	0.101169	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	137	68026
B	75	0x0400000000004001	1473430528.111539000	1473430529.516122000	1.404583000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		54.243.146.41	us	"Amazon Technologies Inc"	8443	10.10.10.144	04	"Private network"	4033	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_33	DavidElec,TW_BelkinInt,US	8443	pcsync-https	33	40	6472	32153	0	1380	196.1212	422.6474	0	0.235292	0.04256312	0.05313552	23.49452	4607.773	-0.09589041	-0.6648803	0x0a11	1	56470	27	27	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2931207271	33	6472	0	33	32153	0	4899	14600	42231.22	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001648	0.000923008	0.195307	0.0306201	0.04091942	0.09302892	0.05551002	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	33	6472
A	88	0x0400000000004000	1473430532.616071000	1473430533.433266000	0.817195000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	4440	107.22.199.21	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_15	BelkinInt,US_DavidElec,TW	8443	pcsync-https	15	10	1299	5688	0	709	86.6	179.7062	0	0.165403	0.05447967	0.04861636	18.35547	1589.584	0.2	-0.6281666	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1961828388	12	1299	0	12	5651	0	709	5840	7989.084	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.098688	0.09392301	0.124385	0.1005509	0.007697413	0.09943603	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	4	0.4444444	2	173	75767
B	88	0x0400000000004001	1473430532.714759000	1473430533.432346000	0.717587000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		107.22.199.21	us	"Amazoncom"	8443	10.10.10.144	04	"Private network"	4440	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_10	DavidElec,TW_BelkinInt,US	8443	pcsync-https	10	15	5688	1299	0	1380	568.8	518.5628	0	0.222116	0.0717587	0.08210199	13.93559	7926.565	-0.2	0.6281666	0x0a11	1	44553	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	540787592	10	5688	0	10	1299	0	4899	14600	17439.77	14600	18176	0	3	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000748032	0.000635	0.128193	0.03478181	0.04535919	0.1353327	0.04600767	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	3	3	3	10	5688
