%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	13	0x0400000000004000	1471518019.327070000	1471518020.338568000	1.011498000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	3457	54.235.111.253	us	"Amazon Technologies Inc"	8443	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_22	BelkinInt,US_DavidElec,TW	8443	pcsync-https	22	17	9826	6472	0	1380	446.6364	571.1912	0	0.199486	0.04597718	0.05319794	21.74992	9714.305	0.1282051	0.2057921	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2083339056	19	9826	0	19	6435	0	4140	5840	8247.966	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.098032	0.03665601	0.114486	0.0957749	0.01511348	0.09894297	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	44	10855
B	13	0x0400000000004001	1471518019.425102000	1471518020.335613000	0.910511000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		54.235.111.253	us	"Amazon Technologies Inc"	8443	10.10.10.144	04	"Private network"	3457	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_17	DavidElec,TW_BelkinInt,US	8443	pcsync-https	17	22	6472	9826	0	1380	380.7059	526.5936	0	0.29821	0.05355947	0.06676023	18.67083	7108.096	-0.1282051	-0.2057921	0x0a11	1	41578	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1482948583	17	6472	0	17	9826	0	4899	14600	36572.77	14600	38144	0	8	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000910976	0.000910976	0.200397	0.01996462	0.03659394	0.1157395	0.03959209	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	17	6472
A	11	0x0400000000004000	1471518015.950495000	1471518016.256953000	0.306458000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	4456	23.23.244.247	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	14	0	349	58.16667	108.0137	0	0.102674	0.05107634	0.04184223	19.57854	1138.818	0.2	0.922865	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2076948378	5	349	0	5	14	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09993504	0.09977	0.100415	0.1001308	0.0002353358	0.10134	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	44	10855
B	11	0x0400000000004001	1471518016.050430000	1471518016.256026000	0.205596000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		23.23.244.247	us	"Amazoncom"	3475	10.10.10.144	04	"Private network"	4456	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	14	349	0	14	3.5	4.984002	0	0.102997	0.051399	0.03995911	19.45563	68.09471	-0.2	-0.922865	0x0a11	1	10835	27	27	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3251775232	4	14	0	4	349	0	14	14600	15435.7	14600	15872	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001405	0.000926992	0.002594016	0.001795669	0.0005185147	0.1019264	0.0005694212	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	4	14
A	34	0x0400000000004000	1471518102.353182000	1471518104.058275000	1.705093000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	3201	23.23.97.224	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_34	BelkinInt,US_DavidElec,TW	8443	pcsync-https	34	29	24087	7144	0	1380	708.4412	637.0497	0	0.482367	0.05014979	0.08535855	19.94026	14126.5	0.07936508	0.5425059	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2158635110	31	24087	0	31	7107	0	4141	5840	8270.879	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09797898	0.003452	0.155598	0.07459886	0.0384922	0.102778	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	99	35925
B	34	0x0400000000004001	1471518102.451161000	1471518104.048508000	1.597347000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		23.23.97.224	us	"Amazoncom"	8443	10.10.10.144	04	"Private network"	3201	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_29	DavidElec,TW_BelkinInt,US	8443	pcsync-https	29	34	7144	24087	0	1380	246.3448	453.8369	0	0.584302	0.05508094	0.108126	18.1551	4472.416	-0.07936508	-0.5425059	0x0a11	1	32303	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2569387176	29	7144	0	29	24087	0	4899	14600	42203.44	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.004799008	0.000884	0.490871	0.04574012	0.1126999	0.120339	0.1190921	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	29	7144
A	41	0x0400000000004000	1471518120.655173000	1471518122.041419000	1.386246000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	3411	50.16.203.253	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_41	BelkinInt,US_DavidElec,TW	8443	pcsync-https	41	32	32153	6472	0	1380	784.2195	631.5825	0	0.138742	0.03381088	0.03764736	29.57628	23194.3	0.1232877	0.6648803	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2184163999	38	32153	0	38	6435	0	4141	5840	8271.174	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09864902	0.001088	0.113845	0.06257213	0.038868	0.10038	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	2	2	2	0.2857143	1	143	68177
B	41	0x0400000000004001	1471518120.753822000	1471518122.038445000	1.284623000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		50.16.203.253	us	"Amazoncom"	8443	10.10.10.144	04	"Private network"	3411	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_32	DavidElec,TW_BelkinInt,US	8443	pcsync-https	32	41	6472	32153	0	1380	202.25	427.7422	0	0.239229	0.04014447	0.05288265	24.91003	5038.054	-0.1232877	-0.6648803	0x0a11	1	20675	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1876307829	32	6472	0	32	32153	0	4899	14600	42227.46	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001731008	0.000936	0.138528	0.02264535	0.03111744	0.08521748	0.04978973	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	7	1	1	0.5	1	32	6472
A	12	0x0400000000004000	1471518017.239365000	1471518126.219333000	108.979968000	1	3	eth:ipv4:tcp	94:10:3e:cd:37:65	00:b5:6d:06:08:ba	0x0800		10.10.10.144	04	"Private network"	3748	54.160.140.169	us	"Amazon Technologies Inc"	3478	6	0x00	1	94:10:3e:cd:37:65_00:b5:6d:06:08:ba_9	BelkinInt,US_DavidElec,TW	3478	stun	9	5	352	324	0	156	39.11111	56.38045	0	106.5074	12.10889	30.9171	0.08258399	3.229951	0.2857143	0.04142012	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2082791638	8	352	0	8	324	0	156	5840	5840	5840	5840	0	0	0	0	0x041e	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09953901	0.09931699	0.119897	0.1035314	0.007100833	0.104973	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	186	90039
B	12	0x0400000000004001	1471518017.338904000	1471518124.250579000	106.911675000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:cd:37:65	0x0800		54.160.140.169	us	"Amazon Technologies Inc"	3478	10.10.10.144	04	"Private network"	3748	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:cd:37:65_5	DavidElec,TW_BelkinInt,US	3478	stun	5	9	324	352	0	140	64.8	46.45676	0	106.65	21.38234	38.13291	0.04676758	3.030539	-0.2857143	-0.04142012	0x0a11	1	27193	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1009201326	5	244	0	5	352	0	140	29200	30114.55	29200	31360	0	3	1	0	0x021a	0x0000	1	6	0x0000001e	1380	128	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.005433984	0.000896992	106.5505	12.06944	30.94438	12.17297	30.94438	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	5	324
