%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	10	0x0400000000004000	1473424990.973020000	1473424993.376831000	2.403811000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	3722	54.243.222.76	us	"Amazon Technologies Inc"	8443	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_45	BelkinInt,US_DavidElec,TW	8443	pcsync-https	45	34	37340	6744	0	1380	829.7778	625.4626	0	0.87154	0.05341802	0.1295238	18.72027	15533.67	0.1392405	0.6940386	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	707443773	42	37340	0	42	6707	0	4144	5840	8271.194	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.1010349	0.002556032	0.201755	0.06082081	0.05148707	0.1026079	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	70	44034
B	10	0x0400000000004001	1473424991.074055000	1473424993.375393000	2.301338000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		54.243.222.76	us	"Amazon Technologies Inc"	8443	10.10.10.252	04	"Private network"	3722	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_34	DavidElec,TW_BelkinInt,US	8443	pcsync-https	34	45	6744	37340	0	1380	198.3529	418.431	0	0.974425	0.0676864	0.1646143	14.77401	2930.469	-0.1392405	-0.6940386	0x0a11	1	37228	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	139291959	34	6744	0	34	37340	0	4899	14600	42233.42	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001573	0.000455	0.879303	0.05468743	0.1793025	0.1155082	0.1865484	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	34	6744
A	33	0x0400000000004000	1473425001.238899000	1473425002.375651000	1.136752000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	3418	54.243.146.41	us	"Amazon Technologies Inc"	8443	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_31	BelkinInt,US_DavidElec,TW	8443	pcsync-https	31	26	18840	6472	0	1380	607.7419	641.2663	0	0.131731	0.03666942	0.04156836	27.27068	16573.54	0.0877193	0.488622	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	723440228	27	18840	0	27	6435	0	4140	5840	5788.903	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.103818	0.001039	0.128201	0.07110737	0.04294036	0.104777	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	141	63465
B	33	0x0400000000004001	1473425001.342717000	1473425002.374905000	1.032188000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		54.243.146.41	us	"Amazon Technologies Inc"	8443	10.10.10.252	04	"Private network"	3418	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_26	DavidElec,TW_BelkinInt,US	8443	pcsync-https	26	31	6472	18840	0	1380	248.9231	462.0081	0	0.169928	0.03969954	0.04757418	25.18921	6270.175	-0.0877193	-0.488622	0x0a11	1	12531	27	27	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	28695139	26	6472	0	26	18840	0	4899	14600	42118.84	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000959008	0.000746016	0.06424601	0.008895995	0.01216215	0.08000337	0.0446295	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	26	6472
A	24	0x0400000000004000	1473424997.557149000	1473424997.900695000	0.343546000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	4967	23.23.244.247	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	14	0	349	58.16667	108.0137	0	0.138733	0.05725766	0.04824591	17.46491	1015.876	0.2	0.922865	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	723045425	5	349	0	5	14	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09989798	0.09976	0.100249	0.100029	0.0001712716	0.101009	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	153	63465
B	24	0x0400000000004001	1473424997.657047000	1473424997.899671000	0.242624000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		23.23.244.247	us	"Amazoncom"	3475	10.10.10.252	04	"Private network"	4967	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	14	349	0	14	3.5	4.984002	0	0.13894	0.060656	0.04989089	16.48642	57.70245	-0.2	-0.922865	0x0a11	1	49979	27	27	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	858277741	4	14	0	4	349	0	14	14600	15435.7	14600	15872	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.00111104	0.001024	0.03869101	0.01398934	0.01535091	0.1140183	0.01535187	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	4	14
A	1	0x0000000000000004	1473424979.933792000	1473424979.939914000	0.006122000	1	2	eth:eapol	94:10:3e:35:01:c1	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	94:10:3e:35:01:c1_28:b2:bd:c3:41:78_2	BelkinInt,US_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.006122	0.003061	0.002164454	326.6906	35935.97	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1473424981.675481000	1473424981.711320000	0.035839000	1	3	eth:ipv4:udp	94:10:3e:35:01:c1	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	94:10:3e:35:01:c1_ff:ff:ff:ff:ff:ff_2	BelkinInt,US_Broadcast	67	bootps	2	0	600	0	300	300	300	0	0	0.035839	0.0179195	0.012671	55.80513	16741.54	1	1	0x0001	0	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	600
A	3	0x0400000000004001	1473424981.675630000	1473424981.785338000	0.109708000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.252	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_2	DavidElec,TW_BelkinInt,US	67	bootps	2	0	600	0	300	300	300	0	0	0.109708	0.054854	0.03878764	18.23021	5469.063	-1	1	0x0001	8	8	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	7	1	1	0.1428571	16	1993
A	4	0x0000000000000044	1473424982.363196000	1473424985.473176000	3.109980000	1	2	eth:arp	94:10:3e:35:01:c1	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	94:10:3e:35:01:c1_ff:ff:ff:ff:ff:ff_2	BelkinInt,US_Broadcast	0	unknown	2	0	74	0	28	46	37	6.363961	0	3.10998	1.55499	1.099544	0.6430909	23.79436	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
