%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0000000000000004	1472724703.991388000	1472724703.996086000	0.004698000	1	2	eth:eapol	00:24:e4:24:80:2a	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:24:e4:24:80:2a_28:b2:bd:c3:41:78_2	Withings,FR_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.004698	0.002349	0.001660994	425.7131	46828.44	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1472724704.069946000	1472724704.098124000	0.028178000	1	3	eth:ipv4:udp	00:24:e4:24:80:2a	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	00:24:e4:24:80:2a_ff:ff:ff:ff:ff:ff_2	Withings,FR_Broadcast	67	bootps	2	0	600	0	300	300	300	0	0	0.028178	0.014089	0.009962427	70.97736	21293.21	1	1	0x0001	1	1	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	600
A	3	0x0400000000004001	1472724704.070122000	1472724704.165760000	0.095638000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	00:24:e4:24:80:2a	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.21	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_00:24:e4:24:80:2a_2	DavidElec,TW_Withings,FR	67	bootps	2	0	600	0	300	300	300	0	0	0.095638	0.047819	0.03381314	20.91219	6273.657	-1	1	0x0001	14	14	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	3	2	2	0.6666667	3	654
A	4	0x0000000000000044	1472724704.193385000	1472724705.298169000	1.104784000	1	2	eth:arp	00:24:e4:24:80:2a	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:24:e4:24:80:2a_ff:ff:ff:ff:ff:ff_4	Withings,FR_Broadcast	0	unknown	4	0	112	0	28	28	28	0	0	0.491647	0.276196	0.1519967	3.620617	101.3773	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	6	0x0400000000004000	1472724705.310712000	1472724705.310712000	0.000000000	1	3	eth:ipv4:udp	00:24:e4:24:80:2a	00:b5:6d:06:08:ba	0x0800		10.10.10.21	04	"Private network"	49153	10.10.10.1	04	"Private network"	53	17	0x00	1	00:24:e4:24:80:2a_00:b5:6d:06:08:ba_1	Withings,FR_DavidElec,TW	53	domain	1	1	38	54	38	38	38	0	0	0	0	0	0	0	0	-0.173913	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000127008	0.000127008	0.000127008	0.000127008	0	0.000127008	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1	28	6377
B	6	0x0400000000004001	1472724705.310839000	1472724705.310839000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	00:24:e4:24:80:2a	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.21	04	"Private network"	49153	17	0x00	1	00:b5:6d:06:08:ba_00:24:e4:24:80:2a_1	DavidElec,TW_Withings,FR	53	domain	1	1	54	38	54	54	54	0	0	0	0	0	0	0	0	0.173913	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000127008	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1	1	3	654
A	7	0x0400000000004000	1472724705.333689000	1472724705.499841000	0.166152000	1	3	eth:ipv4:tcp	00:24:e4:24:80:2a	00:b5:6d:06:08:ba	0x0800		10.10.10.21	04	"Private network"	49153	89.30.121.150	fr	"BSOCOM-MNT"	80	6	0x00	1	00:24:e4:24:80:2a_00:b5:6d:06:08:ba_5	Withings,FR_DavidElec,TW	80	http	5	3	185	377	0	185	37	61.18688	0	0.06033	0.0332304	0.02196841	30.09293	1113.438	0.25	-0.341637	0x0011	1	2	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2203451095	4	185	0	4	377	0	185	8400	8207.431	8022	8400	2	0	0	0	0x011b	0x0000	1	1	0x00000004	1400	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.01047702	0.01012499	0.02042602	0.01367601	0.003528708	0.05312899	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	4	4	2	1	28	6377
B	7	0x0400000000004001	1472724705.344166000	1472724705.457360000	0.113194000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:24:e4:24:80:2a	0x0800		89.30.121.150	fr	"BSOCOM-MNT"	80	10.10.10.21	04	"Private network"	49153	6	0x00	1	00:b5:6d:06:08:ba_00:24:e4:24:80:2a_3	DavidElec,TW_Withings,FR	80	http	3	5	377	185	0	377	125.6667	130.798	0	0.063165	0.03773133	0.01956772	26.50317	3330.565	-0.25	0.341637	0x0811	1	57682	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1453533510	3	377	0	3	185	0	377	14600	15081.44	14600	15544	0	1	1	0	0x031b	0x3000	1	1	0x00000004	1380	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.04265197	0.039904	0.04273898	0.04208558	0.0009484165	0.05576159	0.00365394	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	3	3	3	1	23	2611
A	8	0x0400000000004000	1472724705.452803000	1472724707.302849000	1.850046000	1	3	eth:ipv4:tcp	00:24:e4:24:80:2a	00:b5:6d:06:08:ba	0x0800		10.10.10.21	04	"Private network"	49154	89.30.121.150	fr	"BSOCOM-MNT"	80	6	0x00	1	00:24:e4:24:80:2a_00:b5:6d:06:08:ba_21	Withings,FR_DavidElec,TW	80	http	21	20	5854	2234	0	512	278.7619	207.8612	0	0.333036	0.08809743	0.08433484	11.35107	3164.246	0.02439024	0.4475766	0x0811	1	2	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2194603738	20	5854	0	20	2234	0	512	8400	7663.456	7329	8400	6	1	4	0	0x011b	0x0000	1	1	0x00000004	1400	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.01016	0.01001504	0.08806899	0.02150815	0.01776161	0.04716899	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	28	6377
B	8	0x0400000000004001	1472724705.462963000	1472724707.274331000	1.811368000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:24:e4:24:80:2a	0x0800		89.30.121.150	fr	"BSOCOM-MNT"	80	10.10.10.21	04	"Private network"	49154	6	0x00	1	00:b5:6d:06:08:ba_00:24:e4:24:80:2a_20	DavidElec,TW_Withings,FR	80	http	20	21	2234	5854	0	608	111.7	176.3184	0	0.477403	0.0905684	0.1183637	11.04138	1233.322	-0.02439024	-0.4475766	0x0811	1	783	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2435997259	20	2234	0	20	5854	0	608	14600	28004.3	14600	29480	0	14	1	0	0x031b	0x0000	1	1	0x00000004	1380	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.03700899	0.01697299	0.467285	0.08842948	0.1161813	0.1099376	0.1175311	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	23	2611
