%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,54,0x0400000000004000,1698181802.868176,1698181805.938921,3.070745,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,47960,13.227.231.82,us,Amazon Technologies Inc,443,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_24,-_-,443,https,24,21,1341,7790,0,406,55.875,107.4143,0,0.694293,0.1279477,0.1972796,7.815693,436.7018,0.06666667,-0.7062753,0x4a13,33868,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3954573522,22,1341,0,22,7752,1,595,64240,44700.62,0,64256,5,5,6,0,0x011f,0x0008,23,74,0x0000013e,1460,64,0x0000,0x00,0,0x00,3429215735,439614193,0.1,342921578.60993,1355260227.16982,0.506635,0.2029099,0.693385,0.4463548,0.1254763,0.509205,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,19,1,10,36,1.894737,3.6,357,26034
B,54,0x0400000000004001,1698181803.374811,1698181805.935772,2.560961,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,13.227.231.82,us,Amazon Technologies Inc,443,192.168.137.214,07,Private network,47960,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_21,-_-,443,https,21,24,7790,1341,0,1343,370.9524,509.1846,0,0.512812,0.1219505,0.1693449,8.200047,3041.827,-0.06666667,0.7062753,0x0a13,2,51137,241,241,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3329406032,18,9095,0,21,1310,0,4029,65535,68813.88,65535,69120,0,3,1,0,0x021a,0x0240,21,65,0x0000011e,1355,512,0x0000,0x00,0,0x00,439614197,3429215028,0.1,43961420.355076,1654220385.340902,0.002569984,8.3008e-05,0.02726202,0.005348349,0.007163908,0.4517032,0.1256807,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,19,9,35,35.0,3.888889,101,47145
A,53,0x0400000000004000,1698181802.868176,1698181805.956236,3.08806,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,47958,13.227.231.82,us,Amazon Technologies Inc,443,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_22,-_-,443,https,22,19,1661,7803,0,646,75.5,165.0227,0,0.704378,0.1403664,0.2030282,7.124214,537.8782,0.07317073,-0.6489856,0x4a13,64958,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4135644791,20,1661,0,20,7765,1,755,64240,44692.34,0,64256,5,5,6,0,0x011f,0x0008,21,68,0x0000013e,1460,64,0x0000,0x00,0,0x00,3429215750,711059363,0.1,342921580.10993,1355260225.3996298,0.505603,0.00140096,0.699037,0.4034905,0.1559476,0.509205,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,19,1,8,34,1.789474,4.25,360,26034
B,53,0x0400000000004001,1698181803.373779,1698181805.954695,2.580916,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,13.227.231.82,us,Amazon Technologies Inc,443,192.168.137.214,07,Private network,47958,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_19,-_-,443,https,19,22,7803,1661,0,1343,410.6842,520.7688,0,0.511666,0.1358377,0.1716793,7.361728,3023.345,-0.07317073,0.6489856,0x0a13,2,61545,241,241,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,961358523,16,9108,0,19,1630,0,4029,65535,69140.23,65535,69632,0,3,1,0,0x021a,0x0240,19,59,0x0000011e,1355,512,0x0000,0x00,0,0x00,711059368,3429215026,0.1,71105937.859561,1627075868.3526993,0.003601984,0.000568,0.04402899,0.01270119,0.01304603,0.4161916,0.1564924,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,19,7,33,33.0,4.714286,101,47145
A,68,0x0400000000004000,1698181806.346383,1698181806.346383,0.0,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,47960,13.227.231.82,us,Amazon Technologies Inc,443,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_2,-_-,443,https,2,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,0,0,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3954574865,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0004,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x53,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,20,1,10,36,1.8,3.6,370,26082
B,68,0x0400000000004001,1698181806.34419,1698181806.344832,0.000642,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,13.227.231.82,us,Amazon Technologies Inc,443,192.168.137.214,07,Private network,47960,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_2,-_-,443,https,2,2,0,0,0,0,0.0,0.0,0,0.000642,0.000321,0.0002269813,3115.265,0.0,0.0,0.0,0x0013,1,1,241,241,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3329413823,2,0,0,2,0,0,0,135,135.0,135,135,0,0,0,0,0x0111,0x3000,2,6,0x00000102,0,1,0x0000,0x00,0,0x00,439614581,3429215734,0.1,43961458.755077,1654220348.4795403,0.0,0.001551008,0.001551008,0.001551008,0.0,0.001551008,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,20,9,35,35.0,3.888889,105,47145
A,69,0x0400000000004000,1698181806.346755,1698181806.346755,0.0,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,47958,13.227.231.82,us,Amazon Technologies Inc,443,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_1,-_-,443,https,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4135646454,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0004,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,20,1,8,34,1.7,4.25,370,26082
B,69,0x0400000000004001,1698181806.345696,1698181806.345696,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,13.227.231.82,us,Amazon Technologies Inc,443,192.168.137.214,07,Private network,47958,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_1,-_-,443,https,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0013,65535,0,241,241,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,961366327,1,0,0,1,0,0,0,136,136.0,136,136,0,0,0,0,0x0111,0x3000,1,3,0x00000102,0,1,0x0000,0x00,0,0x00,711059739,3429215750,0.1,71105974.959562,1627075832.1139057,0.0,0.001059008,0.001059008,0.001059008,0.0,0.001059008,0.0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,20,7,33,33.0,4.714286,105,47145
A,26,0x0400000000004000,1698181796.720916,1698181798.257407,1.536491,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,58572,3.225.61.58,us,Amazon Technologies Inc,80,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_5,-_-,80,http,5,5,165,138,0,165,33.0,54.57209,0,0.920075,0.3072982,0.3210835,3.254168,107.3875,0.0,0.08910891,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,633196597,4,165,0,4,138,0,165,64240,64186.88,64128,64256,1,1,2,0,0x011b,0x0000,5,17,0x0000011e,1460,64,0x0000,0x00,0,0x00,2467081556,1572757355,0.001,2467081.67318,1695714717.3330748,0.573545,0.573545,0.919285,0.787231,0.126874,0.612056,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,22,1,4,6,0.2727273,1.5,948,32460
B,26,0x0400000000004001,1698181797.294461,1698181798.87061,1.576149,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,3.225.61.58,us,Amazon Technologies Inc,80,192.168.137.214,07,Private network,58572,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_5,-_-,80,http,5,5,138,165,0,138,27.6,45.64211,0,0.94983,0.3152298,0.3070846,3.172289,87.55518,0.0,-0.08910891,0x0a13,1,63469,234,234,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,876499210,5,138,0,5,165,0,138,26847,27844.75,26847,28160,0,1,1,0,0x031b,0x0000,5,17,0x0000011e,1355,256,0x0000,0x00,0,0x00,1572758173,2467081556,0.1,157275819.643592,1540905979.2383015,0.03851101,0.000789984,0.03867302,0.0242946,0.01533243,0.8115256,0.1277971,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,22,3,5,5.0,1.666667,10,276
