%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,8,0x0400000000004000,1698182743.898822,1698182746.663562,2.76474,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,49098,52.85.0.79,us,Amazon Technologies Inc,443,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_23,-_-,443,https,23,22,1052,16152,0,517,45.73913,109.624,0,0.642183,0.1202061,0.2026031,8.319046,380.506,0.02222222,-0.8777028,0x0a13,1,1,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1384956635,22,1052,0,22,16152,0,517,64240,63890.24,63360,64256,4,4,5,0,0x011b,0x0000,23,71,0x0000011e,1460,64,0x0000,0x00,0,0x00,4288692531,359844493,0.001,4288692.734702,1693894054.1402335,0.613973,0.000316032,0.641755,0.2824997,0.2376749,0.630408,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,8,1.0,4.0,85,7919
B,8,0x0400000000004001,1698182744.512795,1698182746.662136,2.149341,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,52.85.0.79,us,Amazon Technologies Inc,443,192.168.137.214,07,Private network,49098,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_22,-_-,443,https,22,23,16152,1052,0,1343,734.1818,597.7292,0,0.571248,0.09769732,0.1262554,10.23569,7514.861,-0.02222222,0.8777028,0x0a13,1,6523,240,240,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3077363263,22,16152,0,22,1052,0,5372,65535,68080.97,65535,68096,0,2,1,0,0x031b,0x0000,22,68,0x0000011e,1355,512,0x0000,0x00,0,0x00,359844493,4288692021,0.1,35984449.83621,1662198297.4169793,0.01643501,0.000166016,0.05526701,0.008163608,0.01033261,0.2906633,0.2378994,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,7,7.0,7.0,22,16152
A,13,0x0400000000004000,1698182745.169877,1698182748.814274,3.644397,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,45204,44.215.115.210,us,Amazon Data Services NoVa,443,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_17,-_-,443,https,17,14,1024,5153,0,570,60.23529,138.6348,0,1.07186,0.2143763,0.3468202,4.664695,280.9793,0.09677419,-0.6684475,0x0a13,1,1,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,245738413,16,1024,0,16,5153,0,570,64240,63956.72,63360,64256,3,3,4,0,0x011b,0x0000,17,53,0x0000011e,1460,64,0x0000,0x00,0,0x00,3358432635,2903922266,0.1,335843268.504455,1362339480.2020729,0.79636,0.06708697,1.058818,0.6827775,0.3274883,0.798589,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,8,0.8888889,4.0,106,9057
B,13,0x0400000000004001,1698182745.966237,1698182749.487547,3.52131,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,44.215.115.210,us,Amazon Data Services NoVa,443,192.168.137.214,07,Private network,45204,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_14,-_-,443,https,14,17,5153,1024,0,1343,368.0714,470.8358,0,0.921092,0.2515221,0.2957193,3.975793,1463.376,-0.09677419,0.6684475,0x0213,1,15870,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3897998415,14,5153,0,14,1024,0,3168,62643,61887.21,61824,62643,2,0,0,0,0x031b,0x0000,14,44,0x0000011e,1355,128,0x0000,0x00,0,0x00,2903923271,3358432634,0.001,2903923.408929,1695278826.1806767,0.002228992,0.000251968,0.05431501,0.01295143,0.01918297,0.6957289,0.3280497,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,7,7.0,7.0,14,5153
A,18,0x0400000000004000,1698182755.265154,1698182757.516076,2.250922,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,54144,3.225.61.58,us,Amazon Technologies Inc,80,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_5,-_-,80,http,5,5,165,138,0,165,33.0,54.57209,0,1.180006,0.4501844,0.4466224,2.221312,73.3033,0.0,0.08910891,0x0a13,1,1,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4237920911,4,165,0,4,138,0,165,64240,64186.88,64128,64256,1,1,2,0,0x011b,0x0000,5,17,0x0000011e,1460,64,0x0000,0x00,0,0x00,1948779332,2446524043,0.1,194877936.103907,1503304821.5760174,0.979493,0.830995,1.177956,1.012515,0.1151547,1.070563,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,4,6,0.5454546,1.5,158,11867
B,18,0x0400000000004001,1698182756.244647,1698182758.423513,2.178866,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,3.225.61.58,us,Amazon Technologies Inc,80,192.168.137.214,07,Private network,54144,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_5,-_-,80,http,5,5,138,165,0,138,27.6,45.64211,0,0.922065,0.4357732,0.3279949,2.294772,63.3357,0.0,-0.08910891,0x0a13,1,2503,235,235,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3075380832,5,138,0,5,165,0,138,26847,27844.75,26847,28160,0,1,1,0,0x031b,0x0000,5,17,0x0000011e,1355,256,0x0000,0x00,0,0x00,2446525197,1948779332,0.1,244652523.345607,1453530235.22606,0.09106998,0.002050016,0.09106998,0.0555326,0.03815839,1.068047,0.1213123,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,3,5,5.0,1.666667,10,276
A,23,0x0400000000004000,1698182758.671037,1698182760.394433,1.723396,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,54240,3.225.61.58,us,Amazon Technologies Inc,80,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_6,-_-,80,http,6,5,255,138,0,255,42.5,78.92118,0,0.891325,0.2872327,0.3271938,3.481498,147.9637,0.09090909,0.2977099,0x0a13,1,1,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4058783647,5,255,0,5,138,0,255,64240,64169.21,64128,64256,1,1,2,0,0x011b,0x0000,6,20,0x0000011e,1460,64,0x0000,0x00,0,0x00,1948782207,2446527012,0.001,1948782.299562,1696233978.3291414,0.879154,0.778028,0.895059,0.8377794,0.03438168,0.891325,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,2,4,0.3636364,2.0,172,12810
B,23,0x0400000000004001,1698182759.550191,1698182761.289492,1.739301,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,3.225.61.58,us,Amazon Technologies Inc,80,192.168.137.214,07,Private network,54240,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_5,-_-,80,http,5,6,138,255,0,138,27.6,45.64211,0,0.907784,0.3478602,0.337341,2.874718,79.34222,-0.09090909,-0.2977099,0x0a13,1,62823,237,237,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1379703186,5,138,0,5,255,0,138,26847,27844.75,26847,28160,0,1,1,0,0x031b,0x0000,5,17,0x0000011e,1355,256,0x0000,0x00,0,0x00,2446528037,1948782199,0.001,2446528.153204,1695736233.1575987,0.01217101,0.008122016,0.01286304,0.01068982,0.001849809,0.8484692,0.03443141,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,1,3,3.0,3.0,10,276
A,21,0x0400000000004000,1698182758.157966,1698182761.620513,3.462547,1,3,eth:ipv4:tcp,fc:e9:d8:0e:78:d4,3a:00:25:13:46:8d,0x0800,,192.168.137.214,07,Private network,42484,209.54.179.88,us,Amazoncom,443,6,0x00,1,fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_22,-_-,443,https,22,19,1238,10078,0,540,56.27273,126.187,0,0.790629,0.1573885,0.2153033,6.353704,357.5403,0.07317073,-0.7811947,0x4a13,1,1,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3450483100,21,1238,0,21,5483,5,792,64240,63933.45,63360,64256,2,3,3,0,0x011b,0x0008,6,20,0x0000013e,1460,64,0x0000,0x00,0,0x00,1812226453,0,0.004,7248906.156305,1690933852.3190873,0.778898,0.18148,0.778898,0.3891253,0.1904096,0.790629,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,2,12,1.2,6.0,172,12810
B,21,0x0400000000004001,1698182758.936864,1698182762.212784,3.27592,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,fc:e9:d8:0e:78:d4,0x0800,,209.54.179.88,us,Amazoncom,443,192.168.137.214,07,Private network,42484,6,0x00,1,3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_19,-_-,443,https,19,22,10078,1238,0,1212,530.4211,517.5336,0,0.68788,0.1724168,0.2042874,5.799898,3076.388,-0.07317073,0.7811947,0x0a31,1,17750,225,234,1,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1195281134,17,9119,0,19,1238,0,3332,8190,61736.88,8190,62720,2,1,3,0,0x031b,0x00c0,1,6,0x0000001e,1212,64,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.01173101,0.000910016,0.03795495,0.01066389,0.01239634,0.3997892,0.1908127,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,1,11,11.0,11.0,19,10078
