%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,34,0x0400000000004000,1698114924.897471,1698114925.626663,0.729192,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,43374,129.211.152.148,cn,Tencent Cloud Computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.729192,0.364596,0.2578083,2.742762,0.0,0.3333333,0.0,0x0213,61797,0,64,64,0,0x28,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,905111173,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1077763516,0,0.004,4311054.268764,1693803870.384904,0.723813,0.723813,0.723813,0.723813,0.0,0.729192,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,25,1,6,18,0.72,3.0,94,6167
B,34,0x0400000000004001,1698114925.621284,1698114925.621284,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,129.211.152.148,cn,Tencent Cloud Computing,5333,192.168.137.98,07,Private network,43374,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,43,43,0,0x28,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3685053452,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,3674780680,1077763516,0.01,36747805.978623,1661367120.183009,0.005379008,0.005379008,0.005379008,0.005379008,0.0,0.729192,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,25,5,17,17.0,3.4,1,0
A,36,0x0400000000004000,1698114924.897471,1698114925.63382,0.736349,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,38420,175.24.154.241,cn,Tencent cloud computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.736349,0.3681745,0.2603387,2.716103,0.0,0.3333333,0.0,0x0213,13884,0,64,64,0,0x28,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1327056224,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1077763520,0,0.004,4311054.284764,1693803870.3833039,0.7327011,0.7327011,0.7327011,0.7327011,0.0,0.736349,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,25,1,5,16,0.64,3.2,94,6167
B,36,0x0400000000004001,1698114925.630172,1698114925.630172,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,175.24.154.241,cn,Tencent cloud computing,5333,192.168.137.98,07,Private network,38420,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,43,43,0,0x28,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1274946046,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,2348414444,1077763520,0.01,23484143.915088,1674630782.2191687,0.003648,0.003648,0.003648,0.003648,0.0,0.736349,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,25,4,15,15.0,3.75,1,0
A,35,0x0400000000004000,1698114924.897471,1698114925.63382,0.736349,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,47326,49.233.102.113,cn,Tencent cloud computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.736349,0.3681745,0.2603387,2.716103,0.0,0.3333333,0.0,0x0213,39354,0,64,64,0,0x28,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,520594074,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1077763519,0,0.004,4311054.280764,1693803870.3837037,0.733429,0.733429,0.733429,0.733429,0.0,0.7363491,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,25,1,6,14,0.56,2.333333,94,6167
B,35,0x0400000000004001,1698114925.6309,1698114925.6309,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,49.233.102.113,cn,Tencent cloud computing,5333,192.168.137.98,07,Private network,47326,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,45,45,0,0x28,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2783454745,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,3674780691,1077763519,0.01,36747806.088623,1661367119.3746152,0.002920064,0.002920064,0.002920064,0.002920064,0.0,0.7363491,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,25,5,13,13.0,2.6,1,0
A,37,0x0400000000004000,1698114924.998134,1698114925.849233,0.851099,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,43390,129.211.152.148,cn,Tencent Cloud Computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.851099,0.4255495,0.300909,2.349903,0.0,0.3333333,0.0,0x0213,60591,0,64,64,0,0x28,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3052275494,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1077763644,0,0.004,4311054.780764,1693803870.920823,0.803394,0.803394,0.803394,0.803394,0.0,0.851099,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,25,1,5,15,0.6,3.0,106,6285
B,37,0x0400000000004001,1698114925.801528,1698114925.801528,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,129.211.152.148,cn,Tencent Cloud Computing,5333,192.168.137.98,07,Private network,43390,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,43,43,0,0x28,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1209265239,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,261888088,1077763644,0.01,2618880.821463,1695496045.184262,0.04770502,0.04770502,0.04770502,0.04770502,0.0,0.851099,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,25,4,14,14.0,3.5,2,0
A,39,0x0400000000004000,1698114924.999814,1698114925.864075,0.864261,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,38424,175.24.154.241,cn,Tencent cloud computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.864261,0.4321305,0.3055624,2.314116,0.0,0.3333333,0.0,0x0213,21915,0,64,64,0,0x28,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1525874103,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1077763648,0,0.004,4311054.796764,1693803870.2584825,0.832023,0.832023,0.832023,0.832023,0.0,0.864261,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,25,1,4,13,0.52,3.25,106,6285
B,39,0x0400000000004001,1698114925.831837,1698114925.831837,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,175.24.154.241,cn,Tencent cloud computing,5333,192.168.137.98,07,Private network,38424,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,43,43,0,0x28,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1476145904,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,3289226911,1077763648,0.01,32892268.3748,1665222657.2533512,0.03223802,0.03223802,0.03223802,0.03223802,0.0,0.864261,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,25,3,12,12.0,4.0,2,0
