%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,14,0x0400000000004000,1698115616.690897,1698115622.428612,5.737715,1,3,eth:ipv4:tcp,98:da:c4:2b:40:2e,3a:00:25:13:46:8d,0x0800,,192.168.137.102,07,Private network,49506,18.136.152.192,us,Amazon Technologies Inc,60443,6,0x00,1,98:da:c4:2b:40:2e_3a:00:25:13:46:8d_17,"TPLinkTec,CN_-",60443,unknown,17,12,1042,3311,0,523,61.29412,128.8425,0,1.032357,0.3375126,0.3953739,2.962852,181.6054,0.1724138,-0.5212497,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3865914861,13,1042,0,13,3280,1,523,14600,12146.83,0,116800,2,5,3,0,0x011f,0x0009,15,49,0x0000011e,1460,8,0x0000,0x00,0,0x00,4294949613,1658822944,0.001,4294949.816999,1693820672.5400424,1.022233,0.000542976,1.023435,0.7590641,0.3176925,1.03266,0.0,0x56,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,45,2661
B,14,0x0400000000004001,1698115617.71313,1698115622.424224,4.711094,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,98:da:c4:2b:40:2e,0x0800,,18.136.152.192,us,Amazon Technologies Inc,60443,192.168.137.102,07,Private network,49506,6,0x00,1,3a:00:25:13:46:8d_98:da:c4:2b:40:2e_12,"-_TPLinkTec,CN",60443,unknown,12,17,3311,1042,0,1343,275.9167,436.6368,0,1.039118,0.3925911,0.4103071,2.547179,702.8091,-0.1724138,0.5212497,0x0a13,0,43191,234,234,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,938095719,11,3311,0,12,1043,0,1734,26847,87713.84,26847,6872832,1,3,2,0,0x031b,0x0080,12,40,0x0000011e,1355,256,0x0000,0x00,0,0x00,1658824103,4294949613,0.001,1658824.18179,1696456798.3135417,0.01042701,0.001367008,0.112786,0.02387425,0.03052676,0.7829384,0.3191558,0x06,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,12,3311
A,50,0x0400000000004000,1698115629.483041,1698115630.313777,0.830736,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,49338,175.24.154.241,cn,Tencent cloud computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.830736,0.415368,0.2937095,2.407504,0.0,0.3333333,0.0,0x0213,54580,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,696268948,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1078468119,0,0.004,4313872.680898,1693801757.1323764,0.825407,0.825407,0.825407,0.825407,0.0,0.830736,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,24,1,6,21,0.875,3.5,109,8645
B,50,0x0400000000004001,1698115630.308448,1698115630.308448,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,175.24.154.241,cn,Tencent cloud computing,5333,192.168.137.98,07,Private network,49338,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,39,39,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1785549251,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,3148520252,1078468119,0.01,31485201.816251,1666630429.2689073,0.005328992,0.005328992,0.005328992,0.005328992,0.0,0.830736,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,24,5,20,20.0,4.0,2,0
A,48,0x0400000000004000,1698115629.483041,1698115630.320735,0.837694,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,44718,129.211.152.148,cn,Tencent Cloud Computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.837694,0.418847,0.2961695,2.387507,0.0,0.3333333,0.0,0x0213,57981,0,64,64,0,0x60,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1888272158,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1078468115,0,0.004,4313872.664898,1693801757.1339765,0.824972,0.824972,0.824972,0.824972,0.0,0.837694,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,24,1,8,20,0.8333333,2.5,114,8729
B,48,0x0400000000004001,1698115630.308013,1698115630.308013,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,129.211.152.148,cn,Tencent Cloud Computing,5333,192.168.137.98,07,Private network,44718,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,37,37,0,0x60,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2628123124,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,495356819,1078468115,0.01,4953568.079279,1693162062.2991042,0.01272202,0.01272202,0.01272202,0.01272202,0.0,0.837694,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,24,7,19,19.0,2.714286,2,0
A,62,0x0400000000004000,1698115629.602858,1698115630.418466,0.815608,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,49340,175.24.154.241,cn,Tencent cloud computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.815608,0.407804,0.288361,2.452158,0.0,0.3333333,0.0,0x0213,47812,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,553383026,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1078468234,0,0.004,4313873.140898,1693801756.142168,0.809412,0.809412,0.809412,0.809412,0.0,0.815608,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,25,1,5,20,0.8,4.0,122,8809
B,62,0x0400000000004001,1698115630.41227,1698115630.41227,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,175.24.154.241,cn,Tencent cloud computing,5333,192.168.137.98,07,Private network,49340,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,37,37,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2164106213,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,3365000550,1078468234,0.01,33650004.747864,1664465626.3500245,0.006195968,0.006195968,0.006195968,0.006195968,0.0,0.815608,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,25,4,19,19.0,4.75,3,0
A,60,0x0400000000004000,1698115629.602858,1698115630.419935,0.817077,1,3,eth:ipv4:tcp,d2:35:88:e7:02:e6,3a:00:25:13:46:8d,0x0800,,192.168.137.98,07,Private network,44722,129.211.152.148,cn,Tencent Cloud Computing,5333,6,0x00,1,d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2,-_-,5333,unknown,2,1,0,0,0,0,0.0,0.0,0,0.817077,0.4085385,0.2888803,2.44775,0.0,0.3333333,0.0,0x0213,18329,0,64,64,0,0x60,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1301131424,0,0,0,0,0,0,0,65535,45874.5,0,65535,1,0,0,0,0x0006,0x3000,1,5,0x0000011e,1400,512,0x0000,0x00,0,0x00,1078468230,0,0.004,4313873.124898,1693801756.143768,0.812957,0.812957,0.812957,0.812957,0.0,0.817077,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,25,1,7,18,0.72,2.571429,122,8809
B,60,0x0400000000004001,1698115630.415815,1698115630.415815,0.0,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,d2:35:88:e7:02:e6,0x0800,,129.211.152.148,cn,Tencent Cloud Computing,5333,192.168.137.98,07,Private network,44722,6,0x00,1,3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1,-_-,5333,unknown,1,2,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,0x0213,65535,0,39,39,0,0x60,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2346244712,1,0,0,1,0,0,0,65160,65160.0,65160,65160,0,0,0,0,0x0212,0x2000,1,5,0x0000011e,1355,128,0x0000,0x00,0,0x00,561548896,1078468230,0.01,5615488.834484,1692500142.2663655,0.00412,0.00412,0.00412,0.00412,0.0,0.817077,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,25,6,17,17.0,2.833333,3,0
