%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,9,0x0400000000004000,1695673005.387597,1695673005.440938,0.053341,1,3,eth:ipv4:tcp,82:30:be:3b:3a:b0,3a:00:25:13:46:8d,0x0800,,192.168.137.44,07,Private network,52142,35.175.56.83,us,Amazon Technologies Inc,443,6,0x00,1,82:30:be:3b:3a:b0_3a:00:25:13:46:8d_4,-_-,443,https,4,3,31,31,0,31,7.75,10.08824,0,0.052501,0.01333525,0.01859089,74.98922,581.1664,0.1428571,0.0,0x0013,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2681327563,2,31,0,2,0,0,0,519,254.31,0,519,1,0,0,0,0x011d,0x0000,2,6,0x00000102,0,0,0x0000,0x00,0,0x00,2100689851,2825255355,0.1,210068988.230272,1485604017.1364672,0.0,0.024536,0.02464499,0.02460499,3.651562e-05,0.0,0.0,0x57,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,4,9,1.8,2.25,17,4351
B,9,0x0400000000004001,1695673005.412678,1695673005.412787,0.000109,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,82:30:be:3b:3a:b0,0x0800,,35.175.56.83,us,Amazon Technologies Inc,443,192.168.137.44,07,Private network,52142,6,0x00,1,3a:00:25:13:46:8d_82:30:be:3b:3a:b0_3,-_-,443,https,3,4,31,31,0,31,10.33333,10.75527,0,9.8e-05,3.633333e-05,3.184743e-05,27522.94,284403.7,-0.1428571,0.0,0x0013,1,1,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1654430957,3,31,0,3,0,0,31,425,425.0,425,425,0,0,0,0,0x0119,0x3000,3,9,0x00000102,0,0,0x0000,0x00,0,0x00,2825265281,2100689851,0.1,282526532.309973,1413146473.1601665,0.0,0.027856,0.027856,0.009285334,0.01072178,0.03389033,0.01072184,0x07,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,3,8,8.0,2.666667,4,31
A,11,0x0400000000004000,1695673005.882883,1695673005.953005,0.070122,1,3,eth:ipv4:tcp,82:30:be:3b:3a:b0,3a:00:25:13:46:8d,0x0800,,192.168.137.44,07,Private network,52146,35.175.56.83,us,Amazon Technologies Inc,443,6,0x00,1,82:30:be:3b:3a:b0_3a:00:25:13:46:8d_4,-_-,443,https,4,3,31,31,0,31,7.75,10.08824,0,0.069023,0.0175305,0.02444466,57.04343,442.0866,0.1428571,0.0,0x0013,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3938429,2,31,0,2,0,0,0,431,211.19,0,431,1,0,0,0,0x011d,0x0000,2,6,0x00000102,0,0,0x0000,0x00,0,0x00,2100690346,2825255865,0.1,210069037.730273,1485603968.2516432,0.0,0.03916999,0.03924998,0.03921532,2.572638e-05,0.0,0.0,0x57,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,6,12,2.4,2.0,27,6734
B,11,0x0400000000004001,1695673005.922885,1695673005.922965,8e-05,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,82:30:be:3b:3a:b0,0x0800,,35.175.56.83,us,Amazon Technologies Inc,443,192.168.137.44,07,Private network,52146,6,0x00,1,3a:00:25:13:46:8d_82:30:be:3b:3a:b0_3,-_-,443,https,3,4,31,31,0,31,10.33333,10.75527,0,5.6e-05,2.666667e-05,1.623896e-05,37500.0,387500.0,-0.1428571,0.0,0x0013,1,1,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,465039097,3,31,0,3,0,0,31,389,389.0,389,389,0,0,0,0,0x0119,0x3000,3,9,0x00000102,0,0,0x0000,0x00,0,0x00,2825265791,2100690346,0.1,282526583.309974,1413146422.3532023,0.0,0.02977299,0.02977299,0.009924331,0.01145963,0.04913965,0.01145966,0x07,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,5,11,11.0,2.2,10,224
A,2,0x0400000000004000,1695673005.134248,1695673006.465233,1.330985,1,3,eth:ipv4:tcp,82:30:be:3b:3a:b0,3a:00:25:13:46:8d,0x0800,,192.168.137.44,07,Private network,33498,44.217.244.24,us,Amazon Data Services NoVa,443,6,0x00,1,82:30:be:3b:3a:b0_3a:00:25:13:46:8d_4,-_-,443,https,4,4,31,244,0,31,7.75,10.08824,0,1.33052,0.3327463,0.4736041,3.005293,23.29102,0.0,-0.7745454,0x0013,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,721780275,2,31,0,2,0,0,0,347,170.03,0,347,1,0,0,0,0x011d,0x0000,2,6,0x00000102,0,0,0x0000,0x00,0,0x00,2100689568,732728607,0.001,2100689.667777,1693572316.4362369,0.0,0.07367699,1.2909,0.7058117,0.4881314,0.0,0.0,0x57,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,4,11,1.833333,2.75,38,9836
B,2,0x0400000000004001,1695673005.207925,1695673006.425148,1.217223,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,82:30:be:3b:3a:b0,0x0800,,44.217.244.24,us,Amazon Data Services NoVa,443,192.168.137.44,07,Private network,33498,6,0x00,1,3a:00:25:13:46:8d_82:30:be:3b:3a:b0_4,-_-,443,https,4,4,244,31,0,213,61.0,72.56721,0,1.123082,0.3043058,0.3903177,3.286169,200.4563,0.0,0.7745454,0x0013,1,1,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1240911732,4,213,0,4,0,0,213,179,179.0,179,179,0,0,0,0,0x0119,0x0000,4,12,0x00000102,0,0,0x0000,0x00,0,0x00,732739628,2100689568,0.1,73273963.891867,1622399043.3349335,0.0,0.03962,0.03962,0.01320667,0.01524974,0.7190184,0.4883695,0x07,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,3,10,10.0,3.333333,9,389
A,10,0x0400000000004000,1695673005.391999,1695673015.476737,10.084738,1,3,eth:ipv4:tcp,82:30:be:3b:3a:b0,3a:00:25:13:46:8d,0x0800,,192.168.137.44,07,Private network,52174,35.175.56.83,us,Amazon Technologies Inc,443,6,0x00,1,82:30:be:3b:3a:b0_3a:00:25:13:46:8d_6,-_-,443,https,6,4,2352,31,0,1368,392.0,470.9475,0,10.00053,1.68079,3.089247,0.5949584,233.2237,0.2,0.9739824,0x0013,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2119610532,4,2352,0,4,0,0,31,352,172.48,0,352,1,0,0,0,0x011d,0x0000,4,12,0x00000102,0,0,0x0000,0x00,0,0x00,2100699857,2825265281,0.001,2100699.956778,1693572316.28072,0.0,0.02029501,0.05256999,0.04448049,0.01049656,0.0,0.0,0x53,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,12,24,2.666667,2.0,97,24618
B,10,0x0400000000004001,1695673005.412761,1695673015.447176,10.034415,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,82:30:be:3b:3a:b0,0x0800,,35.175.56.83,us,Amazon Technologies Inc,443,192.168.137.44,07,Private network,52174,6,0x00,1,3a:00:25:13:46:8d_82:30:be:3b:3a:b0_4,-_-,443,https,4,6,31,2352,0,31,7.75,11.036,0,10.03436,2.508604,3.265445,0.3986281,3.089368,-0.2,-0.9739824,0x0013,1,1,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3788987314,4,31,0,4,31,0,31,249,249.0,249,249,0,0,0,0,0x0119,0x0000,4,12,0x00000102,0,0,0x0000,0x00,0,0x00,2825275314,2100699857,0.004,11301101.792774,1684371914.4001596,0.0,0.029032,9.981845,3.998222,4.12157,4.042702,4.121583,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,11,23,23.0,2.090909,52,7726
A,3,0x0400000000004000,1695673005.136987,1695673015.785294,10.648307,1,3,eth:ipv4:tcp,82:30:be:3b:3a:b0,3a:00:25:13:46:8d,0x0800,,192.168.137.44,07,Private network,33504,44.217.244.24,us,Amazon Data Services NoVa,443,6,0x00,1,82:30:be:3b:3a:b0_3a:00:25:13:46:8d_11,-_-,443,https,11,10,1432,389,0,833,130.1818,238.1286,0,9.829617,0.9680279,2.599634,1.033028,134.4815,0.04761905,0.5727622,0x0a13,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,531867958,7,1432,0,7,145,0,833,65535,29781.19,0,88832,1,2,2,0,0x011f,0x0000,8,26,0x0000011e,1460,256,0x0000,0x00,0,0x00,2100699815,732738841,0.1,210069984.630287,1485603031.3061526,0.07099398,0.068299,0.370012,0.1795136,0.1215714,0.09991398,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,22,2.444444,5.5,103,25568
B,3,0x0400000000004001,1695673005.207981,1695673015.743071,10.53509,1,3,eth:ipv4:tcp,3a:00:25:13:46:8d,82:30:be:3b:3a:b0,0x0800,,44.217.244.24,us,Amazon Data Services NoVa,443,192.168.137.44,07,Private network,33504,6,0x00,1,3a:00:25:13:46:8d_82:30:be:3b:3a:b0_10,-_-,443,https,10,11,389,1432,0,213,38.9,65.17919,0,9.829906,1.053509,2.676612,0.9492087,36.92422,-0.04761905,-0.5727622,0x0a13,1,60420,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,201974376,10,389,0,10,1432,0,244,26847,43692.86,26847,45824,0,2,1,0,0x031b,0x0000,10,32,0x0000011e,1380,256,0x0000,0x00,0,0x00,732748902,2100699815,0.1,73274891.291881,1622398124.4044745,0.02892,0.02892,9.755882,2.193856,3.76076,2.37337,3.762724,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,21,21.0,7.0,19,778
