%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	15	0x0400000000004000	1698181299.790929000	1698181302.867308000	3.076379000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	46770	44.215.115.210	us	"Amazon Data Services NoVa"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_17	-_-	443	https	17	13	1024	5068	0	570	60.23529	138.6348	0	0.816307	0.1809635	0.2879071	5.525977	332.8589	0.1333333	-0.6638214	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3267246639	16	1024	0	16	5068	0	570	64240	63993.32	63360	64256	3	3	4	0	0x011b	0x0000	17	53	0x0000011e	1460	64	0x0000	0x00	0	0x00	1958263352	3638093987	0.1	195826338.118040	1502354964.3901534504	0.791961	0.000177984	0.803319	0.6804075	0.1876578	0.8163069	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	18	2.571429	9	208	16740
B	15	0x0400000000004001	1698181300.582890000	1698181303.477118000	2.894228000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		44.215.115.210	us	"Amazon Data Services NoVa"	443	192.168.137.214	07	"Private network"	46770	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_13	-_-	443	https	13	17	5068	1024	0	1343	389.8462	480.338	0	0.802326	0.2226329	0.2945747	4.491699	1751.071	-0.1333333	0.6638214	0x0213	1	51568	233	233	0	0x28	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	93750474	13	5068	0	13	1024	0	4029	62643	61914.3	61824	62643	2	0	0	0	0x031b	0x0000	13	41	0x0000011e	1355	128	0x0000	0x00	0	0x00	3638094771	1958263352	0.001	3638094.943800	1694543209.3727797440	0.02434598	0.000248	0.02900499	0.01060531	0.01172593	0.6910128	0.1880238	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	17	17	17	13	5068
A	19	0x0400000000004000	1698181300.303487000	1698181303.989315000	3.685828000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	35100	18.155.210.74	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_22	-_-	443	https	22	19	1365	6390	0	418	62.04546	113.8294	0	0.817162	0.1675376	0.234309	5.968808	370.3374	0.07317073	-0.6479691	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3808815646	21	1365	0	21	6390	0	607	64240	64094.56	63360	64256	3	4	4	0	0x011b	0x0000	22	68	0x0000011e	1460	64	0x0000	0x00	0	0x00	3206775561	1027575355	0.1	320677560.878468	1377503743.594054920	0.815374	0.001176	0.815374	0.4017811	0.2209785	0.817162	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	14	16	2.666667	1.142857	212	16740
B	19	0x0400000000004001	1698181301.118861000	1698181303.987963000	2.869102000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		18.155.210.74	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	35100	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_19	-_-	443	https	19	22	6390	1365	0	1343	336.3158	482.3108	0	0.635148	0.1510054	0.2119579	6.622281	2227.178	-0.07317073	0.6479691	0x0a13	1	19205	250	250	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3773008246	19	6390	0	19	1365	0	2686	65535	68787.3	65535	69120	0	3	1	0	0x031b	0x0000	19	59	0x0000011e	1355	512	0x0000	0x00	0	0x00	1027575355	3206775051	0.1	102757537.031207	1595423766.089315920	0.001788	0.000112	0.02783302	0.004973418	0.007495614	0.4067545	0.2211056	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	13	15	15	1.153846	138	46825
A	17	0x0400000000004000	1698181300.303487000	1698181303.991106000	3.687619000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	35096	18.155.210.74	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_22	-_-	443	https	22	19	1695	6391	0	583	77.04546	157.298	0	0.817162	0.167619	0.2287649	5.965909	459.6462	0.07317073	-0.5807568	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3990437211	21	1695	0	21	6391	0	772	64240	64094.56	63360	64256	3	4	4	0	0x011b	0x0000	22	68	0x0000011e	1460	64	0x0000	0x00	0	0x00	3206775563	2524566417	0.1	320677561.078468	1377503742.3185054920	0.814582	0.001137984	0.814582	0.377444	0.2253374	0.817162	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	12	14	2.333333	1.166667	212	16740
B	17	0x0400000000004001	1698181301.118069000	1698181303.989659000	2.871590000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		18.155.210.74	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	35096	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_19	-_-	443	https	19	22	6391	1695	0	1343	336.3684	482.3165	0	0.61088	0.1511363	0.2086217	6.616544	2225.596	-0.07317073	0.5807568	0x0a13	1	27482	250	250	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2310974632	19	6391	0	19	1695	0	1413	65535	68787.3	65535	69120	0	3	1	0	0x031b	0x0000	19	59	0x0000011e	1355	512	0x0000	0x00	0	0x00	2524566417	3206775053	0.1	252456645.461897	1445724658.1354624920	0.00258	0.000304	0.01043501	0.00332177	0.001966262	0.3807657	0.2253459	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	11	13	13	1.181818	138	46825
A	16	0x0400000000004000	1698181300.303487000	1698181303.991437000	3.687950000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	35094	18.155.210.74	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_21	-_-	443	https	21	18	1373	6393	0	464	65.38095	123.0655	0	0.792324	0.1756167	0.243878	5.694221	372.2935	0.07692308	-0.6464074	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2441912483	20	1373	0	20	6393	0	611	64240	64092.77	63360	64256	3	4	4	0	0x011b	0x0000	21	65	0x0000011e	1460	64	0x0000	0x00	0	0x00	3206775564	1181820139	0.1	320677561.178468	1377503742.3416054920	0.501287	0.009828032	0.790733	0.4707327	0.1867233	0.508831	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	10	12	2	1.2	212	16740
B	16	0x0400000000004001	1698181300.804774000	1698181303.990475000	3.185701000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		18.155.210.74	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	35094	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_18	-_-	443	https	18	21	6393	1373	0	1343	355.1667	489.2365	0	0.785324	0.1769834	0.2382866	5.650248	2006.78	-0.07692308	0.6464074	0x0a13	1	29061	250	250	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	621074970	18	6393	0	18	1373	0	2756	65535	68750.09	65535	69120	0	3	1	0	0x031b	0x0000	18	56	0x0000011e	1355	512	0x0000	0x00	0	0x00	1181820139	3206775050	0.1	118182015.661049	1579999288.1971472920	0.007544	0.000100992	0.01926899	0.004719903	0.00465134	0.4754527	0.1867812	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	9	11	11	1.222222	138	46825
A	18	0x0400000000004000	1698181300.303487000	1698181304.499239000	4.195752000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	35098	18.155.210.74	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_22	-_-	443	https	22	20	1559	6392	0	515	70.86364	139.192	0	0.90708	0.190716	0.2735412	5.243398	371.5663	0.04761905	-0.607848	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3711066964	21	1559	0	21	6392	0	704	64240	64094.56	63360	64256	3	4	4	0	0x011b	0x0000	22	68	0x0000011e	1460	64	0x0000	0x00	0	0x00	3206776071	4015169136	0.1	320677611.878469	1377503693.144325664	0.777851	0.0004	0.904966	0.4384711	0.2415585	0.817162	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	8	10	1.666667	1.25	212	16740
B	18	0x0400000000004001	1698181301.081338000	1698181304.497842000	3.416504000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		18.155.210.74	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	35098	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_20	-_-	443	https	20	22	6392	1559	0	1343	319.6	475.5107	0	0.696356	0.1708252	0.2257836	5.853938	1870.918	-0.04761905	0.607848	0x0a13	1	64021	250	250	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	246877749	20	6392	0	20	1559	0	2686	65535	68887.11	65535	69120	0	3	1	0	0x031b	0x0000	20	62	0x0000011e	1355	512	0x0000	0x00	0	0x00	4015169136	3206775355	0.1	401516919.583068	1296664385.3337692960	0.039311	0.00024096	0.039311	0.00896809	0.01151129	0.4474392	0.2418326	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	9	9	1.285714	138	46825
