%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	16	0x0400000000004000	1698183850.930541000	1698183850.930541000	0.000000000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	42860	54.208.112.100	us	"Amazoncom"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_2	-_-	443	https	2	0	31	0	0	31	15.5	10.96016	0	0	0	0	0	0	1	1	0x0813	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2754005319	2	31	0	2	0	0	0	998	999.2	998	1002	0	1	1	0	0x041c	0x0000	2	6	0x00000102	0	0	0x0000	0x00	0	0x00	683335289	3633383663	0.004	2733341.285827	1695450509.2542238064	0	65535	0	0	0	0	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	1	5	0.625	5	44	4809
A	10	0x0400000000004000	1698183848.917664000	1698183849.692390000	0.774726000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	35404	174.129.198.40	us	"Amazoncom"	80	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_6	-_-	80	http	6	5	255	138	0	255	42.5	78.92118	0	0.495722	0.129121	0.1505586	7.744674	329.1487	0.09090909	0.2977099	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1624121770	5	255	0	5	138	0	255	64240	64169.21	64128	64256	1	1	2	0	0x011b	0x0000	6	20	0x0000011e	1460	64	0x0000	0x00	0	0x00	1057151200	3526540674	0.001	1057151.250212	1697126698.650054344	0.320894	0.234878	0.364139	0.294409	0.03664526	0.495722	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	84	8538
B	10	0x0400000000004001	1698183849.238558000	1698183850.056529000	0.817971000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		174.129.198.40	us	"Amazoncom"	80	192.168.137.214	07	"Private network"	35404	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_5	-_-	80	http	5	6	138	255	0	138	27.6	45.64211	0	0.409971	0.1635942	0.1467827	6.112686	168.7101	-0.09090909	-0.2977099	0x0a13	1	39639	238	238	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4266897057	5	138	0	5	255	0	138	26847	27844.75	26847	28160	0	1	1	0	0x031b	0x0000	5	17	0x0000011e	1355	256	0x0000	0x00	0	0x00	3526540983	1057151199	0.001	3526541.150502	1694657309.543924152	0.174828	0.000986048	0.175093	0.1053826	0.07466622	0.3997916	0.08317403	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	5	138
A	13	0x0400000000004000	1698183849.691257000	1698183851.634791000	1.943534000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	46526	44.215.115.210	us	"Amazon Data Services NoVa"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_15	-_-	443	https	15	14	1003	5337	0	549	66.86667	141.1464	0	0.480268	0.1295689	0.1710037	7.717899	516.0702	0.03448276	-0.6835962	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2622861782	14	1003	0	14	5337	0	549	64240	63805.18	63360	64256	3	3	4	0	0x011b	0x0000	15	47	0x0000011e	1460	64	0x0000	0x00	0	0x00	3359535494	3640643033	0.001	3359535.653569	1694824316.2777238488	0.461463	0.000396992	0.479619	0.3497736	0.1145086	0.462729	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	4	10	1.25	2.5	97	9445
B	13	0x0400000000004001	1698183850.152720000	1698183851.898194000	1.745474000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		44.215.115.210	us	"Amazon Data Services NoVa"	443	192.168.137.214	07	"Private network"	46526	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_14	-_-	443	https	14	15	5337	1003	0	1343	381.2143	468.1331	0	0.578829	0.1246767	0.1561038	8.020744	3057.622	-0.03448276	0.6835962	0x0213	1	5285	237	237	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3757094221	14	5337	0	14	1003	0	4511	64296	64256.39	64256	64296	1	0	0	0	0x031b	0x0000	14	44	0x0000011e	1355	128	0x0000	0x00	0	0x00	3640643496	3359535494	0.1	364064355.024982	1334119496.520854136	0.001266	0.000598016	0.206645	0.05822507	0.0835992	0.4079987	0.1417782	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	3	9	9	3	27	10402
A	22	0x0400000000004000	1698183859.818672000	1698183863.203458000	3.384786000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	41698	35.161.96.40	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_20	-_-	443	https	20	16	938	5828	0	573	46.9	124.7117	0	0.774726	0.1692393	0.2399286	5.908793	277.1224	0.1111111	-0.7227313	0x0a13	0	1	64	64	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3363154441	17	938	0	17	5797	0	573	64240	31375.8	0	64256	5	3	6	0	0x011f	0x0000	18	56	0x0000011e	1460	64	0x0000	0x00	0	0x00	2984222350	3304937576	0.001	2984222.491743	1695199640.2389953552	0.47836	4.1984e-05	0.768061	0.4077899	0.2236815	0.512604	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	8	1	4	103	9476
B	22	0x0400000000004001	1698183860.297032000	1698183863.202532000	2.905500000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		35.161.96.40	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	41698	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_16	-_-	443	https	16	20	5828	938	0	1343	364.25	475.7428	0	0.719253	0.1815938	0.2059666	5.506798	2005.851	-0.1111111	0.7227313	0x0213	1	10121	101	101	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2018324448	16	5828	0	16	939	0	2801	62643	62075.78	61952	62643	2	0	0	0	0x031b	0x0000	16	50	0x0000011e	1355	128	0x0000	0x00	0	0x00	3304938384	2984222350	0.001	3304938.540976	1694878925.127561088	0.034244	0.000496992	0.04367097	0.01855883	0.01520089	0.4263487	0.2241975	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	7	7	7	16	5828
A	23	0x0400000000004000	1698183865.891237000	1698183866.681329000	0.790092000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	35880	174.129.198.40	us	"Amazoncom"	80	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_5	-_-	80	http	5	5	165	138	0	165	33	54.57209	0	0.499056	0.1580184	0.1711327	6.328377	208.8364	0	0.08910891	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1476575256	4	165	0	4	138	0	165	64240	64186.88	64128	64256	1	1	2	0	0x011b	0x0000	5	17	0x0000011e	1460	64	0x0000	0x00	0	0x00	1057168190	3526557571	0.001	1057168.240213	1697126698.2483955232	0.239803	0.239803	0.496863	0.386143	0.0735403	0.290898	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	2	4	0.3636364	2	229	17620
B	23	0x0400000000004001	1698183866.131040000	1698183867.053272000	0.922232000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		174.129.198.40	us	"Amazoncom"	80	192.168.137.214	07	"Private network"	35880	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_5	-_-	80	http	5	5	138	165	0	138	27.6	45.64211	0	0.410923	0.1844464	0.1366818	5.421629	149.637	0	-0.08910891	0x0a13	1	59501	238	238	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1879272562	5	138	0	5	165	0	138	26847	27844.75	26847	28160	0	1	1	0	0x031b	0x0000	5	17	0x0000011e	1355	256	0x0000	0x00	0	0x00	3526558093	1057168190	0.001	3526558.260503	1694657309.1471890448	0.05109501	0.002193024	0.05123299	0.03156181	0.0210249	0.4177048	0.07648674	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	1	3	3	3	10	276
A	11	0x0400000000004000	1698183848.969992000	1698183877.975018000	29.005026000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	36375	44.193.98.221	us	"Amazon Data Services NoVa"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_16	-_-	443	https	16	10	3490	6743	0	1343	218.125	415.9552	0	26.78003	1.812814	6.214978	0.5516285	120.324	0.2307692	-0.3178931	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3054678101	15	3490	0	15	6743	0	1638	64240	64004.27	63360	64256	3	4	4	0	0x041e	0x0000	16	50	0x0000011e	1460	64	0x0000	0x00	0	0x00	31781483	887825775	0.001	31781.484510	1698152096.3870882104	0.443993	4.896e-05	0.491454	0.2727446	0.171093	0.445291	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	2	19	1.9	9.5	236	19155
