%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	40	0x0400000000004000	1698184761.693814000	1698184764.323926000	2.630112000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	51052	54.230.232.82	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_24	-_-	443	https	24	21	1497	7797	0	484	62.375	126.7773	0	0.610096	0.109588	0.1710346	9.125087	569.1773	0.06666667	-0.6778567	0x0a13	46276	1	64	64	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3409199425	22	1497	0	22	7759	0	673	64240	44872.59	0	64256	5	5	6	0	0x011f	0x0000	23	71	0x0000011e	1460	64	0x0000	0x00	0	0x00	829168873	1391422389	0.001	829168.912383	1697355596.2598906280	0.24616	0.07931699	0.609203	0.3593766	0.1668266	0.248998	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	4	10	1.25	2.5	104	9290
B	40	0x0400000000004001	1698184761.939974000	1698184764.297267000	2.357293000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		54.230.232.82	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	51052	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_21	-_-	443	https	21	24	7797	1497	0	1343	371.2857	509.0717	0	0.437961	0.112252	0.1305699	8.908524	3307.608	-0.06666667	0.6778567	0x0a13	1	4536	244	244	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2166296083	21	7759	0	21	1466	0	4029	65535	68813.88	65535	69120	0	3	1	0	0x021a	0x0000	21	65	0x0000011e	1355	512	0x0000	0x00	0	0x00	1391422394	829168154	0.001	1391422.460089	1696793342.454167576	0.002838016	0.000892992	0.066004	0.01405761	0.01668152	0.3734342	0.1676586	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	3	9	9	3	43	23950
A	43	0x0400000000004000	1698184764.498309000	1698184764.498309000	0.000000000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	51052	54.230.232.82	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_1	-_-	443	https	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3409200924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	4	10	1.25	2.5	105	9290
B	43	0x0400000000004001	1698184764.482529000	1698184764.482529000	0.000000000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		54.230.232.82	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	51052	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_1	-_-	443	https	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0013	65535	0	244	244	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2166303881	1	0	0	1	0	0	0	135	135	135	135	0	0	0	0	0x0010	0x0000	1	3	0x00000102	0	1	0x0000	0x00	0	0x00	1391422793	829168873	0.1	139142281.373382	1559042483.1119281848	0	0.01578	0.01578	0.01578	0	0.01578	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	3	9	9	3	44	23950
A	44	0x0400000000004000	1698184764.728970000	1698184764.728970000	0.000000000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	51052	54.230.232.82	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_1	-_-	443	https	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3409200924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	4	10	1.25	2.5	107	9290
B	44	0x0400000000004001	1698184764.665595000	1698184764.665595000	0.000000000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		54.230.232.82	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	51052	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_1	-_-	443	https	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0013	65535	0	244	244	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2166303881	1	0	0	1	0	0	0	135	135	135	135	0	0	0	0	0x0111	0x3000	1	3	0x00000102	0	1	0x0000	0x00	0	0x00	1391422793	829168873	0.1	139142281.373382	1559042483.3796655416	0	0.06337497	0.06337497	0.06337497	0	0.06337497	0	0x83	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	3	9	9	3	45	23950
A	33	0x0400000000004000	1698184758.490127000	1698184760.204350000	1.714223000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	50958	54.230.232.82	us	"Amazon Technologies Inc"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_23	-_-	443	https	23	22	1047	16153	0	517	45.52174	109.0687	0	0.498338	0.07453144	0.1351312	13.41716	610.7723	0.02222222	-0.8782558	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2895717762	22	1047	0	22	16153	0	517	64240	63890.24	63360	64256	4	4	5	0	0x011b	0x0000	23	71	0x0000011e	1460	64	0x0000	0x00	0	0x00	829164775	2153374042	0.001	829164.814383	1697355596.1672154088	0.258011	3.6992e-05	0.463348	0.1889898	0.1496591	0.328638	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	2	12	1.090909	6	163	14249
B	33	0x0400000000004001	1698184758.748138000	1698184760.169360000	1.421222000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		54.230.232.82	us	"Amazon Technologies Inc"	443	192.168.137.214	07	"Private network"	50958	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_22	-_-	443	https	22	23	16153	1047	0	1343	734.2273	597.6996	0	0.38706	0.064601	0.1045951	15.47964	11365.57	-0.02222222	0.8782558	0x0a13	1	10297	244	244	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	267094676	22	16153	0	22	1047	0	5372	65535	68085.22	65535	68096	0	2	1	0	0x031b	0x0000	22	68	0x0000011e	1355	512	0x0000	0x00	0	0x00	2153374042	829164281	0.001	2153374.144280	1696031386.1711996456	0.07062701	0.00012	0.07603603	0.01528917	0.02165464	0.204279	0.1512176	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	1	11	11	11	45	23950
A	35	0x0400000000004000	1698184759.489417000	1698184761.940134000	2.450717000	1	3	eth:ipv4:tcp	fc:e9:d8:0e:78:d4	3a:00:25:13:46:8d	0x0800		192.168.137.214	07	"Private network"	42720	44.215.115.210	us	"Amazon Data Services NoVa"	443	6	0x00	1	fc:e9:d8:0e:78:d4_3a:00:25:13:46:8d_16	-_-	443	https	16	13	1024	5153	0	570	64	142.1058	0	0.716322	0.1531698	0.2322673	6.528702	417.8369	0.1034483	-0.6684475	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1723473719	15	1024	0	15	5153	0	570	64240	63883.31	63360	64256	3	3	4	0	0x011b	0x0000	16	50	0x0000011e	1460	64	0x0000	0x00	0	0x00	3360445833	2288443029	0.1	336044588.307455	1362140173.3523675472	0.477513	0.000364992	0.715952	0.3863758	0.2385375	0.509517	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	14	1	2	18	1.285714	9	233	17490
B	35	0x0400000000004001	1698184759.966930000	1698184762.546025000	2.579095000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	fc:e9:d8:0e:78:d4	0x0800		44.215.115.210	us	"Amazon Data Services NoVa"	443	192.168.137.214	07	"Private network"	42720	6	0x00	1	3a:00:25:13:46:8d_fc:e9:d8:0e:78:d4_13	-_-	443	https	13	16	5153	1024	0	1343	396.3846	478.1809	0	0.724802	0.1983919	0.2283121	5.040528	1997.988	-0.1034483	0.6684475	0x0213	1	44059	237	237	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3776667240	13	5153	0	13	1024	0	2686	62643	61914.3	61824	62643	2	0	0	0	0x031b	0x0000	13	41	0x0000011e	1355	128	0x0000	0x00	0	0x00	2288443777	3360445833	0.001	2288443.885695	1695896319.3973425704	0.03200403	0.000131008	0.03640701	0.01520989	0.01359319	0.4015857	0.2389245	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	14	1	17	17	17	13	5153
