%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	2	0x0400000002004000	1698111909.348188000	1698111912.353063000	3.004875000	1	4	eth:ipv4:udp:ssdp	3a:00:25:13:46:8d	01:00:5e:7f:ff:fa	0x0800		169.254.57.96	02	"Link-local"	58082	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	3a:00:25:13:46:8d_01:00:5e:7f:ff:fa_4	-_IPv4Multi	1900	ssdp	4	0	696	0	174	174	174	0	0	1.002194	0.7512188	0.3259405	1.33117	231.6236	1	1	0x0001	2	2	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	8	8	2	1	110	21922
A	3	0x0400000002004000	1698111909.357763000	1698111912.364302000	3.006539000	1	4	eth:ipv4:udp:ssdp	3a:00:25:13:46:8d	01:00:5e:7f:ff:fa	0x0800		169.254.57.96	02	"Link-local"	58090	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	3a:00:25:13:46:8d_01:00:5e:7f:ff:fa_4	-_IPv4Multi	1900	ssdp	4	0	700	0	175	175	175	0	0	1.002797	0.7516348	0.3260817	1.330433	232.8258	1	1	0x0001	2	2	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	7	7	1.75	1	110	21922
A	6	0x0800000000008001	1698111924.561515000	1698111924.561515000	0.000000000	1	3	eth:ipv6:icmpv6	3a:00:25:13:46:8d	33:33:ff:ed:cb:a4	0x86dd		::	-	"-"	0	ff02::1:ffed:cba4	10	"Solicited node Link-local"	0	58	0x00	1	3a:00:25:13:46:8d_33:33:ff:ed:cb:a4_1	-_IPv6Multi	0	unknown	1	0	16	0	16	16	16	0	0	0	0	0	0	0	-1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	1	0x00000080_0x00000000_0x0001	0x00000000	0	0	1	1	1	1	1	1	1	16
A	9	0x0800000000008001	1698111925.561931000	1698111925.561931000	0.000000000	1	3	eth:ipv6:icmpv6	3a:00:25:13:46:8d	33:33:00:00:00:01	0x86dd		fe80::9bce:73c1:e3ed:cba4	02	"Link-local"	0	ff02::1	10	"All Nodes Address"	0	58	0x00	1	3a:00:25:13:46:8d_33:33:00:00:00:01_1	-_IPv6Multi	0	unknown	1	0	24	0	24	24	24	0	0	0	0	0	0	0	-1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	1	0x00000100_0x00000000_0x0001	0x00000000	0	0	3	1	1	1	0.3333333	1	52	10351
A	5	0x0400000000004000	1698111924.561461000	1698111928.059535000	3.498074000	1	3	eth:ipv4:igmp	3a:00:25:13:46:8d	01:00:5e:00:00:16	0x0800		169.254.57.96	02	"Link-local"	0	224.0.0.22	10	"IGMP"	0	2	0x00	1	3a:00:25:13:46:8d_01:00:5e:00:00:16_8	-_IPv4Multi	0	unknown	8	0	72	0	8	16	9	2.372865	0	1.506543	0.4372593	0.4104679	2.286973	20.58275	1	1	0x0001	1	1	1	1	0	0x00	0x0000	8	0x80_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	1	1	0.25	1	110	21922
A	8	0x0800000000008001	1698111924.561589000	1698111928.059711000	3.498122000	1	4	eth:ipv6:ipv6.hopopts:icmpv6	3a:00:25:13:46:8d	33:33:00:00:00:16	0x86dd		fe80::9bce:73c1:e3ed:cba4	02	"Link-local"	0	ff02::16	10	"MLDv2-capable routers"	0	58	0x00	1	3a:00:25:13:46:8d_33:33:00:00:00:16_10	-_IPv6Multi	0	unknown	10	0	300	0	20	60	30	13.50524	0	1.506279	0.3498122	0.4022746	2.858677	85.7603	-1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	20_0	0x00000022_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	10	0x00008000_0x00000000_0x0001	0x00000000	0	0	2	2	1	2	1	2	52	10351
A	15	0x0400000000004000	1698111927.650433000	1698111929.908231000	2.257798000	1	3	eth:ipv4:udp	3a:00:25:13:46:8d	ff:ff:ff:ff:ff:ff	0x0800		169.254.57.96	02	"Link-local"	137	169.254.255.255	02	"Link-local"	137	17	0x00	1	3a:00:25:13:46:8d_ff:ff:ff:ff:ff:ff_12	-_Broadcast	137	netbios-ns	12	0	816	0	68	68	68	0	0	0.750726	0.1881498	0.2959598	5.314913	361.4141	1	1	0x0001	1	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	1	1	0.3333333	1	110	21922
A	17	0x0400000002004000	1698111929.276133000	1698111932.281209000	3.005076000	1	4	eth:ipv4:udp:ssdp	3a:00:25:13:46:8d	01:00:5e:7f:ff:fa	0x0800		169.254.57.96	02	"Link-local"	54497	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	3a:00:25:13:46:8d_01:00:5e:7f:ff:fa_4	-_IPv4Multi	1900	ssdp	4	0	700	0	175	175	175	0	0	1.003532	0.751269	0.3259796	1.331081	232.9392	1	1	0x0001	5	7	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	6	6	3	1	110	21922
A	18	0x0400000002004000	1698111929.278228000	1698111932.285299000	3.007071000	1	4	eth:ipv4:udp:ssdp	3a:00:25:13:46:8d	01:00:5e:7f:ff:fa	0x0800		169.254.57.96	02	"Link-local"	54505	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	3a:00:25:13:46:8d_01:00:5e:7f:ff:fa_4	-_IPv4Multi	1900	ssdp	4	0	696	0	174	174	174	0	0	1.003698	0.7517678	0.3261035	1.330198	231.4545	1	1	0x0001	5	7	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	5	5	2.5	1	110	21922
A	7	0x0800000000008001	1698111924.561546000	1698111932.561901000	8.000355000	1	3	eth:ipv6:icmpv6	3a:00:25:13:46:8d	33:33:00:00:00:02	0x86dd		fe80::9bce:73c1:e3ed:cba4	02	"Link-local"	0	ff02::2	10	"Routers Address"	0	58	0x00	1	3a:00:25:13:46:8d_33:33:00:00:00:02_3	-_IPv6Multi	0	unknown	3	0	16	0	0	8	5.333333	2.775555	0	4.001486	2.666785	1.387944	0.3749834	1.999911	-1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	3	0x00000020_0x00000000_0x0001	0x00000000	0	0	1	1	1	1	1	1	52	10351
