%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	8	0x0400000000004000	1698113433.813566000	1698113434.090216000	0.276650000	1	3	eth:ipv4:tcp	d2:35:88:e7:02:e6	3a:00:25:13:46:8d	0x0800		192.168.137.98	07	"Private network"	45840	148.153.34.154	us	"Capitalonline Data Service Co"	443	6	0x00	1	d2:35:88:e7:02:e6_3a:00:25:13:46:8d_3	-_-	443	https	3	3	31	77	0	31	10.33333	10.75527	0	0.27665	0.09221666	0.09598214	10.84403	112.0549	0	-0.4259259	0x0011	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3188434330	3	31	0	3	32	0	31	160	160	160	160	0	0	0	0	0x0119	0x3000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.137976	0.269236	0.1357373	0.08675875	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	12	1.714286	6	15	246
B	8	0x0400000000004001	1698113433.746557000	1698113434.359452000	0.612895000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	d2:35:88:e7:02:e6	0x0800		148.153.34.154	us	"Capitalonline Data Service Co"	443	192.168.137.98	07	"Private network"	45840	6	0x00	1	3a:00:25:13:46:8d_d2:35:88:e7:02:e6_3	-_-	443	https	3	3	77	31	0	46	25.66667	15.43835	0	0.40791	0.2042983	0.1316085	4.894803	125.6333	0	0.4259259	0x0011	46677	1	53	53	0	0x28	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	807360139	2	46	0	2	0	0	0	62	43.4	0	62	1	0	0	0	0x011d	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.06700902	0.138674	0.1147857	0.02486375	0.250523	0.09025124	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	11	11	11	3	77
A	10	0x0400000000004001	1698113434.623211000	1698113434.623211000	0.000000000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	d2:35:88:e7:02:e6	0x0800		148.153.34.154	us	"Capitalonline Data Service Co"	443	192.168.137.98	07	"Private network"	45840	6	0x00	1	3a:00:25:13:46:8d_d2:35:88:e7:02:e6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0x0011	65535	0	53	53	0	0x28	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	807360217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	11	11	11	4	77
A	15	0x0400000000004000	1698113438.007125000	1698113438.010239000	0.003114000	1	3	eth:ipv4:tcp	d2:35:88:e7:02:e6	3a:00:25:13:46:8d	0x0800		192.168.137.98	07	"Private network"	46838	35.168.247.95	us	"Amazon Technologies Inc"	443	6	0x00	1	d2:35:88:e7:02:e6_3a:00:25:13:46:8d_5	-_-	443	https	5	4	31	77	0	31	6.2	10.25294	0	0.001615	0.0006228	0.0006428392	1605.652	9955.042	0.1111111	-0.4259259	0x0013	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2973081862	5	31	0	5	31	0	31	490	490	490	490	0	0	0	0	0x0119	0x0000	5	15	0x00000102	0	0	0x0000	0x00	0	0x00	1076307315	1401800695	1	1076307315.000000	621806123.1649065408	0	0.343793	0.343793	0.08594825	0.1289224	0	0	0x07	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	12	1.333333	6	30	492
B	15	0x0400000000004001	1698113437.944359000	1698113438.354032000	0.409673000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	d2:35:88:e7:02:e6	0x0800		35.168.247.95	us	"Amazon Technologies Inc"	443	192.168.137.98	07	"Private network"	46838	6	0x00	1	3a:00:25:13:46:8d_d2:35:88:e7:02:e6_4	-_-	443	https	4	5	77	31	0	46	19.25	16.47415	0	0.349671	0.1024182	0.1249023	9.763885	187.9548	-0.1111111	0.4259259	0x0013	22795	1	246	246	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1075584898	3	77	0	3	0	0	0	389	272.3	0	389	1	0	0	0	0x011d	0x0000	3	9	0x00000102	0	0	0x0000	0x00	0	0x00	1401800695	1076247628	0.1	140180071.588846	1557933367.3772155000	0	0.002764	0.005878	0.00394625	0.001105765	0.0898945	0.1289271	0x47	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	11	11	11	4	77
A	19	0x0400000000004000	1698113440.443852000	1698113440.443852000	0.000000000	1	3	eth:ipv4:tcp	d2:35:88:e7:02:e6	3a:00:25:13:46:8d	0x0800		192.168.137.98	07	"Private network"	43348	148.153.64.20	us	"Capitalonline Data Service Co"	443	6	0x00	1	d2:35:88:e7:02:e6_3a:00:25:13:46:8d_2	-_-	443	https	2	2	0	77	0	0	0	0	0	0	0	0	0	0	0	-1	0x0011	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2022398344	2	0	0	2	32	0	0	160	160	160	160	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	4	16	1.454545	4	39	2404
B	19	0x0400000000004001	1698113440.400153000	1698113440.436546000	0.036393000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	d2:35:88:e7:02:e6	0x0800		148.153.64.20	us	"Capitalonline Data Service Co"	443	192.168.137.98	07	"Private network"	43348	6	0x00	1	3a:00:25:13:46:8d_d2:35:88:e7:02:e6_2	-_-	443	https	2	2	77	0	31	46	38.5	5.303301	0	0.036393	0.0181965	0.01286687	54.95562	2115.792	0	1	0x0011	1	1	47	47	0	0x28	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2436676829	2	46	0	2	0	0	0	146	146	146	146	0	0	0	0	0x0119	0x3000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.007306016	0.007306016	0.007306016	0	0.007306016	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	3	15	15	5	4	154
A	23	0x0400000000004000	1698113443.614657000	1698113443.758181000	0.143524000	1	3	eth:ipv4:tcp	d2:35:88:e7:02:e6	3a:00:25:13:46:8d	0x0800		192.168.137.98	07	"Private network"	37114	148.153.34.154	us	"Capitalonline Data Service Co"	443	6	0x00	1	d2:35:88:e7:02:e6_3a:00:25:13:46:8d_3	-_-	443	https	3	4	31	77	0	31	10.33333	10.75527	0	0.143524	0.04784133	0.04979484	20.90243	215.9917	-0.1428571	-0.4259259	0x0011	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	188300486	3	31	0	3	32	0	31	160	160	160	160	0	0	0	0	0x0119	0x3000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.06977894	0.22663	0.09880299	0.07650059	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	13	1	2	18	1.384615	9	49	5163
B	23	0x0400000000004001	1698113443.574944000	1698113444.029534000	0.454590000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	d2:35:88:e7:02:e6	0x0800		148.153.34.154	us	"Capitalonline Data Service Co"	443	192.168.137.98	07	"Private network"	37114	6	0x00	1	3a:00:25:13:46:8d_d2:35:88:e7:02:e6_4	-_-	443	https	4	3	77	31	0	46	19.25	16.47415	0	0.300375	0.1136475	0.09295517	8.799138	169.3834	0.1428571	0.4259259	0x0011	0	1	53	53	0	0x28	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2657822229	2	46	0	2	0	0	0	62	30.38	0	62	1	0	0	0	0x011d	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.03971303	0.07374503	0.06240103	0.01180721	0.161204	0.0774064	0x53	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	13	1	17	17	17	8	154
A	30	0x0400000000004000	1698113448.964285000	1698113450.510633000	1.546348000	1	3	eth:ipv4:tcp	d2:35:88:e7:02:e6	3a:00:25:13:46:8d	0x0800		192.168.137.98	07	"Private network"	39432	54.69.32.52	us	"Amazon Technologies Inc"	443	6	0x00	1	d2:35:88:e7:02:e6_3a:00:25:13:46:8d_9	-_-	443	https	9	6	524	3906	0	517	58.22222	135.7701	0	0.529929	0.1718164	0.1895792	5.820165	338.8629	0.2	-0.7634311	0x0a13	15573	1	64	64	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3237462922	7	524	0	7	3899	0	517	65535	50203.21	0	73728	1	4	2	0	0x011f	0x0000	8	26	0x0000011e	1460	512	0x0000	0x00	0	0x00	1076319395	3043652752	0.001	1076319.446122	1697037131.3709532080	0.438905	0.03114304	0.51309	0.3189748	0.1726459	0.500129	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	16	1	2	24	1.5	12	86	9267
