%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	23	0x0400000000004000	1698114298.938519000	1698114300.681954000	1.743435000	1	3	eth:ipv4:tcp	a4:da:22:2f:6f:6a	3a:00:25:13:46:8d	0x0800		192.168.137.239	07	"Private network"	36795	35.164.104.122	us	"Amazon Technologies Inc"	443	6	0x00	1	a4:da:22:2f:6f:6a_3a:00:25:13:46:8d_4	WyzeLabsI,US_-	443	https	4	2	0	0	0	0	0	0	0	0.923457	0.4358588	0.3465407	2.294321	0	0.3333333	0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2639212268	3	0	0	3	0	0	0	14600	14605.26	14600	14608	0	1	1	0	0x0113	0x0000	4	14	0x0000011e	1460	16	0x0000	0x00	0	0x00	3605	3328339056	0.001	3.605000	1698114297.2744167232	0.807538	0.807538	0.922115	0.8648265	0.04050906	0.8197811	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	8	8	4	1	39	3189
B	23	0x0400000000004001	1698114299.746057000	1698114300.680612000	0.934555000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	a4:da:22:2f:6f:6a	0x0800		35.164.104.122	us	"Amazon Technologies Inc"	443	192.168.137.239	07	"Private network"	36795	6	0x00	1	3a:00:25:13:46:8d_a4:da:22:2f:6f:6a_2	-_WyzeLabsI,US	443	https	2	4	0	0	0	0	0	0	0	0.934555	0.4672775	0.3304151	2.140056	0	-0.3333333	0	0x0a13	24230	24230	222	222	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3999488735	2	0	0	2	0	0	0	26847	26856.9	26847	26880	0	1	1	0	0x0313	0x3000	2	8	0x0000011e	1355	256	0x0000	0x00	0	0x00	3328339056	3512	0.001	3328339.214088	1694785961.1793080232	0.01224301	0.001342016	0.01244	0.009567008	0.00411302	0.8743935	0.04071733	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	7	7	7	1	28	11243
A	25	0x0400000000004000	1698114300.270032000	1698114304.575744000	4.305712000	1	3	eth:ipv4:tcp	a4:da:22:2f:6f:6a	3a:00:25:13:46:8d	0x0800		192.168.137.239	07	"Private network"	36796	35.164.104.122	us	"Amazon Technologies Inc"	443	6	0x00	1	a4:da:22:2f:6f:6a_3a:00:25:13:46:8d_12	WyzeLabsI,US_-	443	https	12	9	1102	3929	0	517	91.83334	153.1519	0	0.897625	0.3588094	0.3164913	2.786995	255.9391	0.1428571	-0.5619161	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2679322475	11	1102	0	11	3929	0	517	14600	24539.55	14600	25984	0	5	1	0	0x011b	0x0000	12	38	0x0000011e	1460	16	0x0000	0x00	0	0x00	3994	3328342976	1	3994.000000	1698110310.218382336	0.600571	0.162704	0.879223	0.585811	0.2280051	0.616324	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	6	8	2.666667	1.333333	52	4361
B	25	0x0400000000004001	1698114300.870603000	1698114304.557342000	3.686739000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	a4:da:22:2f:6f:6a	0x0800		35.164.104.122	us	"Amazon Technologies Inc"	443	192.168.137.239	07	"Private network"	36796	6	0x00	1	3a:00:25:13:46:8d_a4:da:22:2f:6f:6a_9	-_WyzeLabsI,US	443	https	9	12	3929	1102	0	1343	436.5555	467.3182	0	0.948803	0.4096377	0.3487772	2.441182	1065.711	-0.1428571	0.5619161	0x0a13	1	3020	228	228	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	291599250	9	3929	0	9	1103	0	2068	26847	28606.55	26847	29184	0	2	1	0	0x031b	0x0000	9	29	0x0000011e	1355	256	0x0000	0x00	0	0x00	3328342976	3902	0.001	3328343.134088	1694785961.3157131816	0.01575296	0.001346944	0.245278	0.04754607	0.05656908	0.6333571	0.2349178	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	5	7	7	1.4	32	11782
A	52	0x0400000000004000	1698114316.587189000	1698114316.776048000	0.188859000	1	3	eth:ipv4:tcp	d2:35:88:e7:02:e6	3a:00:25:13:46:8d	0x0800		192.168.137.98	07	"Private network"	48734	44.236.130.238	us	"Amazoncom"	443	6	0x00	1	d2:35:88:e7:02:e6_3a:00:25:13:46:8d_5	-_-	443	https	5	4	2687	77	0	1343	537.4	410.2307	0	0.188859	0.0377718	0.06246321	26.47478	14227.54	0.1111111	0.9442837	0x0013	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	27581767	5	2054	0	5	77	0	633	191	191	191	191	0	0	0	0	0x0018	0x0000	5	15	0x00000102	0	1	0x0000	0x00	0	0x00	1077186105	151014563	0.1	107718612.105132	1590395704.2848754720	0	0.156928	0.604482	0.279745	0.1625017	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	19	1	4	21	1.105263	5.25	137	14125
B	52	0x0400000000004001	1698114316.744117000	1698114317.380530000	0.636413000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	d2:35:88:e7:02:e6	0x0800		44.236.130.238	us	"Amazoncom"	443	192.168.137.98	07	"Private network"	48734	6	0x00	1	3a:00:25:13:46:8d_d2:35:88:e7:02:e6_4	-_-	443	https	4	5	77	2687	0	46	19.25	16.47415	0	0.614393	0.1591032	0.2277365	6.285227	120.9906	-0.1111111	-0.9442837	0x0013	36625	1	222	222	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2587786987	3	77	0	3	0	0	77	270	189	0	270	1	0	0	0	0x011d	0x0000	3	9	0x00000102	0	1	0x0000	0x00	0	0x00	151014563	1077126144	0.1	15101456.525029	1683012860.1107792312	0	0.009910976	0.009910976	0.005946585	0.00409707	0.2856916	0.1625534	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	3	20	20	6.666667	5	77
A	35	0x0400000000004000	1698114305.823469000	1698114307.970880000	2.147411000	1	3	eth:ipv4:tcp	d2:35:88:e7:02:e6	3a:00:25:13:46:8d	0x0800		192.168.137.98	07	"Private network"	48394	162.62.97.220	ru	"ACEVILLEPTELTD-SG"	80	6	0x00	1	d2:35:88:e7:02:e6_3a:00:25:13:46:8d_6	-_-	80	http	6	4	440	185	0	440	73.33334	136.1777	0	1.03566	0.3579018	0.3271725	2.794062	204.8979	0.2	0.408	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	595709339	5	440	0	5	185	0	440	65535	66544.98	65535	67072	0	2	1	0	0x011b	0x0000	1	5	0x0000011e	1400	512	0x0000	0x00	0	0x00	1077175086	0	0.004	4308700.548652	1693805605.2581594464	0.589402	0.46816	1.032241	0.7722515	0.1997611	0.595756	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	22	1	2	8	0.3636364	4	152	16500
B	35	0x0400000000004001	1698114306.412871000	1698114307.937607000	1.524736000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	d2:35:88:e7:02:e6	0x0800		162.62.97.220	ru	"ACEVILLEPTELTD-SG"	80	192.168.137.98	07	"Private network"	48394	6	0x00	1	3a:00:25:13:46:8d_d2:35:88:e7:02:e6_4	-_-	80	http	4	6	185	440	0	185	46.25	65.86002	0	1.011411	0.381184	0.302016	2.623405	121.3325	-0.2	-0.408	0x0a11	1	9454	55	55	0	0x68	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2144525176	4	185	0	4	440	0	185	29200	29946.35	29200	30336	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1355	128	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.006353984	0.003419008	0.03327302	0.01228917	0.008993159	0.7845407	0.1999634	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	22	1	7	7	7	4	185
A	32	0x0400000000004000	1698114304.265641000	1698114308.563863000	4.298222000	1	3	eth:ipv4:tcp	a4:da:22:2f:6f:6a	3a:00:25:13:46:8d	0x0800		192.168.137.239	07	"Private network"	36797	35.164.104.122	us	"Amazon Technologies Inc"	443	6	0x00	1	a4:da:22:2f:6f:6a_3a:00:25:13:46:8d_12	WyzeLabsI,US_-	443	https	12	11	1312	3903	0	638	109.3333	192.1692	0	1.019606	0.3581851	0.3305426	2.791852	305.2425	0.04347826	-0.496836	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3057264726	11	1312	0	11	3903	0	638	14600	24539.55	14600	25984	0	5	1	0	0x011b	0x0000	12	38	0x0000011e	1460	16	0x0000	0x00	0	0x00	4393	3328346838	1	4393.000000	1698109915.1222284224	0.5719	0.06120499	1.016105	0.6404838	0.2646094	0.621695	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	2	6	8	2.666667	1.333333	65	5540
B	32	0x0400000000004001	1698114304.837541000	1698114308.562703000	3.725162000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	a4:da:22:2f:6f:6a	0x0800		35.164.104.122	us	"Amazon Technologies Inc"	443	192.168.137.239	07	"Private network"	36797	6	0x00	1	3a:00:25:13:46:8d_a4:da:22:2f:6f:6a_11	-_WyzeLabsI,US	443	https	11	12	3903	1312	0	1343	354.8182	451.2478	0	0.98491	0.3386511	0.3594296	2.952892	1047.74	-0.04347826	0.496836	0x0a13	1	52514	228	228	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2911605397	11	3903	0	11	1312	0	2068	26847	29095.58	26847	29440	0	2	1	0	0x031b	0x0000	11	35	0x0000011e	1355	256	0x0000	0x00	0	0x00	3328346838	4313	0.001	3328346.996088	1694785962.3361164520	0.04979501	0.00116	0.286169	0.04461734	0.06729346	0.6851012	0.2730322	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	3	5	7	3.5	1.4	42	18608
