%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1696277404.293526000	1696277409.079064000	4.785538000	1	3	eth:ipv4:tcp	82:30:be:3b:3a:b0	3a:00:25:13:46:8d	0x0800		192.168.137.18	07	"Private network"	36436	44.219.182.139	us	"Amazon Data Services NoVa"	443	6	0x00	1	82:30:be:3b:3a:b0_3a:00:25:13:46:8d_5	-_-	443	https	5	3	24	206	0	24	4.8	7.308078	0	4.680734	0.9571077	1.415577	1.044815	5.01511	0.25	-0.7913043	0x0013	0	1	64	64	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3105843063	3	24	0	3	0	0	24	398	195.02	0	398	1	0	0	0	0x011d	0x0000	3	9	0x00000102	0	0	0x0000	0x00	0	0x00	103926858	1356860038	0.1	10392685.954863	1685884723.2642528104	0	0.06384806	0.06398605	0.04261137	0.02218123	0	0	0x53	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	24	4	12	100	8886
B	1	0x0400000000004001	1696277404.244940000	1696277409.038246000	4.793306000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	82:30:be:3b:3a:b0	0x0800		44.219.182.139	us	"Amazon Data Services NoVa"	443	192.168.137.18	07	"Private network"	36436	6	0x00	1	3a:00:25:13:46:8d_82:30:be:3b:3a:b0_3	-_-	443	https	3	5	206	24	0	182	68.66666	60.43208	0	4.793168	1.597769	1.662933	0.6258729	42.9766	-0.25	0.7913043	0x0013	1	1	236	236	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1058654326	3	206	0	3	25	0	24	474	474	474	474	0	0	0	0	0x0119	0x3000	3	9	0x00000102	0	0	0x0000	0x00	0	0x00	1356864831	103926857	0.001	1356864.895448	1694920545.2990814632	0	0.040818	4.72932	2.387011	1.831414	2.429622	1.831548	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	23	23	23	3	206
A	17	0x0400000000004000	1696277409.483728000	1696277409.586788000	0.103060000	1	3	eth:ipv4:tcp	82:30:be:3b:3a:b0	3a:00:25:13:46:8d	0x0800		192.168.137.18	07	"Private network"	51932	199.232.37.208	us	"Fastly"	443	6	0x00	1	82:30:be:3b:3a:b0_3a:00:25:13:46:8d_4	-_-	443	https	4	4	31	31	0	31	7.75	10.08824	0	0.102451	0.025765	0.03639839	38.81234	300.7957	0	0	0x0013	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3487899938	2	31	0	2	0	0	0	672	329.28	0	672	1	0	0	0	0x011d	0x0000	2	6	0x00000102	0	0	0x0000	0x00	0	0x00	103927369	909854358	0.004	415709.495745	1695861700.2497917848	0	0.06089197	0.06114899	0.06104173	7.787646e-05	0	0	0x57	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	28	3.5	14	123	8965
B	17	0x0400000000004001	1696277409.544922000	1696277409.545179000	0.000257000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	82:30:be:3b:3a:b0	0x0800		199.232.37.208	us	"Fastly"	443	192.168.137.18	07	"Private network"	51932	6	0x00	1	3a:00:25:13:46:8d_82:30:be:3b:3a:b0_4	-_-	443	https	4	4	31	31	0	31	7.75	11.036	0	0.000139	6.425e-05	3.51737e-05	15564.2	120622.6	0	0	0x0013	1	1	56	56	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2762590614	4	31	0	4	0	0	31	296	296	296	296	0	0	0	0	0x0119	0x0000	4	12	0x00000102	0	0	0x0000	0x00	0	0x00	909860682	103927369	0.01	9098606.616630	1687178803.3396490704	0	0.04130201	0.04130201	0.01376734	0.01589715	0.07480907	0.01589734	0x07	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	27	27	27	4	31
A	16	0x0400000000004000	1696277409.295527000	1696277409.377088000	0.081561000	1	3	eth:ipv4:tcp	82:30:be:3b:3a:b0	3a:00:25:13:46:8d	0x0800		192.168.137.18	07	"Private network"	48582	23.227.60.200	ca	"Shopify"	443	6	0x00	1	82:30:be:3b:3a:b0_3a:00:25:13:46:8d_3	-_-	443	https	3	1	24	0	0	24	8	8.326664	0	0.081561	0.027187	0.03139284	36.78229	294.2583	0.5	1	0x0013	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2717585045	3	24	0	3	0	0	0	2185	2185	2185	2185	0	0	0	0	0x0119	0x3000	3	9	0x00000102	0	0	0x0000	0x00	0	0x00	103927261	4029507388	1	103927261.000000	1592350148.3425845248	0	0.04531699	0.04531699	0.04531699	0	0	0	0x01	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	30	3.333333	15	156	12652
B	16	0x0400000000004001	1696277409.340844000	1696277409.340844000	0.000000000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	82:30:be:3b:3a:b0	0x0800		23.227.60.200	ca	"Shopify"	443	192.168.137.18	07	"Private network"	48582	6	0x00	1	3a:00:25:13:46:8d_82:30:be:3b:3a:b0_1	-_-	443	https	1	3	0	24	0	0	0	0	0	0	0	0	0	0	-0.5	-1	0x0013	65535	0	55	55	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3110910731	1	0	0	1	0	0	0	8	8	8	8	0	0	0	0	0x0111	0x2000	1	3	0x00000102	0	0	0x0000	0x00	0	0x00	4029507388	103927169	0.01	40295072.979335	1655982337.562249616	0	0.036244	0.036244	0.01208133	0.01395032	0.05739833	0.01395032	0x01	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	29	29	29	1	0
A	20	0x0400000000004000	1696277419.523912000	1696277419.523912000	0.000000000	1	3	eth:ipv4:tcp	82:30:be:3b:3a:b0	3a:00:25:13:46:8d	0x0800		192.168.137.18	07	"Private network"	48580	23.227.60.200	ca	"Shopify"	443	6	0x00	1	82:30:be:3b:3a:b0_3a:00:25:13:46:8d_2	-_-	443	https	2	0	24	0	0	24	12	8.485281	0	0	0	0	0	0	1	1	0x0013	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4031774645	2	24	0	2	0	0	0	2195	2195	2195	2195	0	0	0	0	0x041c	0x0000	2	6	0x00000102	0	0	0x0000	0x00	0	0x00	103937404	1746457336	0.001	103937.408937	1696173482.3812021184	0	65535	0	0	0	0	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	30	3.333333	15	199	13261
A	21	0x0400000000004000	1696277419.523912000	1696277419.523912000	0.000000000	1	3	eth:ipv4:tcp	82:30:be:3b:3a:b0	3a:00:25:13:46:8d	0x0800		192.168.137.18	07	"Private network"	48578	23.227.60.200	ca	"Shopify"	443	6	0x00	1	82:30:be:3b:3a:b0_3a:00:25:13:46:8d_2	-_-	443	https	2	0	24	0	0	24	12	8.485281	0	0	0	0	0	0	1	1	0x0013	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2618427094	2	24	0	2	0	0	0	2196	2196	2196	2196	0	0	0	0	0x041c	0x0000	2	6	0x00000102	0	0	0x0000	0x00	0	0x00	103937405	3980161933	0.001	103937.409937	1696173482.3811021184	0	65535	0	0	0	0	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	1	29	3.222222	29	199	13261
A	18	0x0400000000004000	1696277416.344181000	1696277416.681889000	0.337708000	1	3	eth:ipv4:tcp	82:30:be:3b:3a:b0	3a:00:25:13:46:8d	0x0800		192.168.137.18	07	"Private network"	34354	49.4.38.186	cn	"Huawei Public Cloud Service"	443	6	0x00	1	82:30:be:3b:3a:b0_3a:00:25:13:46:8d_2	-_-	443	https	2	1	0	0	0	0	0	0	0	0.337708	0.168854	0.1193978	5.922276	0	0.3333333	0	0x0013	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1399797028	2	0	0	2	0	0	0	408	408	408	408	0	0	0	0	0x0111	0x3000	2	6	0x00000102	0	0	0x0000	0x00	0	0x00	103934568	1475563089	1	103934568.000000	1592342848.3284167232	0	0.28013	0.28013	0.28013	0	0	0	0x01	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	30	3.75	15	234	14869
B	18	0x0400000000004001	1696277416.624311000	1696277416.624311000	0.000000000	1	3	eth:ipv4:tcp	3a:00:25:13:46:8d	82:30:be:3b:3a:b0	0x0800		49.4.38.186	cn	"Huawei Public Cloud Service"	443	192.168.137.18	07	"Private network"	34354	6	0x00	1	3a:00:25:13:46:8d_82:30:be:3b:3a:b0_1	-_-	443	https	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.3333333	0	0x0013	65535	0	38	38	0	0x28	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1999602207	1	0	0	1	0	0	0	62	62	62	62	0	0	0	0	0x0111	0x2000	1	3	0x00000102	0	0	0x0000	0x00	0	0x00	1475563089	103934219	0.01	14755630.560186	1681521786.980557080	0	0.05757805	0.05757805	0.02878902	0.02035691	0.308919	0.02035691	0x01	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	29	29	29	1	0
